geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
Worth 39140,small_mf,individual,150,894,191,1156,0.7853403141361257,0.773356401384083,false
River Forest 33030,sfr_1_4,corp,1,1,636,646,0.0015723270440251573,0.0015479876160990713,false
North Chicago 74030,condo_unit,trust,557,557,19344,19344,0.028794458229942102,0.028794458229942102,false
Hyde Park 70260,small_mf,individual,1,7,2,14,0.5,0.5,false
Rich 32181,sfr_1_4,partnership,18,18,961,961,0.018730489073881373,0.018730489073881373,false
Jefferson 71082,mixed_use_res,partnership,1,3,185,629,0.005405405405405406,0.0047694753577106515,false
New Trier 23141,sfr_1_4,corp,1,1,809,810,0.0012360939431396785,0.0012345679012345679,false
Lyons 21062,sfr_1_4,corp,1,1,550,550,0.0018181818181818182,0.0018181818181818182,false
Lake View 73092,small_mf,unknown,36,250,134,912,0.26865671641791045,0.2741228070175439,false
Thornton 37130,sfr_1_4,trust,7,8,1754,1839,0.003990877993158495,0.004350190320826536,false
Jefferson 71461,sfr_1_4,llc,4,4,2106,2162,0.001899335232668566,0.0018501387604070306,false
Lemont 19010,small_mf,corp,2,14,34,223,0.058823529411764705,0.06278026905829596,false
Oak Park 27100,mixed_use_res,llc,1,5,14,44,0.07142857142857142,0.11363636363636363,false
West Chicago 77141,condo_unit,corp,22,22,839,839,0.026221692491060787,0.026221692491060787,false
Wheeling 38026,sfr_1_4,unknown,9,9,449,449,0.0200445434298441,0.0200445434298441,false
Wheeling 38010,sfr_1_4,llc,3,3,3311,3311,0.000906070673512534,0.000906070673512534,false
Jefferson 71030,sfr_1_4,unknown,51,52,1908,1963,0.026729559748427674,0.026490066225165563,false
Worth 39133,sfr_1_4,individual,281,349,300,376,0.9366666666666666,0.9281914893617021,false
Rich 32043,condo_unit,individual,82,82,90,90,0.9111111111111111,0.9111111111111111,false
Lake 72422,mixed_use_res,individual,13,48,14,50,0.9285714285714286,0.96,false
Schaumburg 35113,condo_unit,unknown,10,10,180,180,0.05555555555555555,0.05555555555555555,false
North Chicago 74013,condo_unit,individual,1559,1559,1796,1796,0.8680400890868597,0.8680400890868597,false
Rich 32222,sfr_1_4,partnership,2,2,551,551,0.003629764065335753,0.003629764065335753,false
West Chicago 77030,small_mf,corp,28,184,516,3329,0.05426356589147287,0.05527185340943226,false
