nta,nta_name,borough,parcels,units,entity_parcels,entity_units,entity_parcel_share,entity_unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_parcels,sfr_condo_entity_units,sfr_condo_entity_unit_share,suppressed
"","",,10,10,3,3,0.3,0.3,9,9,3,3,,false
-,-,,4,93,4,93,1.0,1.0,2,3,2,3,,false
33010,33010,,7224,14409,1196,6122,0.16555924695459578,0.424873343049483,6726,8746,899,1663,0.19014406585867824,false
33012,33012,,17746,23580,2630,7848,0.14820241181111235,0.332824427480916,17550,18011,2459,2631,0.14607739714618845,false
33013,33013,,7393,9756,635,2249,0.08589206005681049,0.23052480524805247,7303,8074,570,792,0.09809264305177112,false
33014,33014,,9994,16206,1232,6112,0.12327396437862717,0.37714426755522645,9918,9958,1168,1182,0.11869853384213698,false
33015,33015,,17476,21954,3022,6937,0.1729228656443122,0.31597886489933497,17455,17466,3003,3004,0.1719912973777625,false
33016,33016,,12761,15450,1970,4181,0.1543766162526448,0.2706148867313916,12686,12689,1909,1909,0.15044526755457482,false
33018,33018,,16058,18786,1288,3996,0.08020924149956409,0.21271159374001916,16045,16066,1275,1276,0.07942238267148015,false
33030,33030,,7161,10954,980,4024,0.13685239491691104,0.3673543910900128,7030,7929,870,1254,0.15815361331819902,false
33031,33031,,2180,2243,163,168,0.07477064220183487,0.07489968791796701,2180,2243,163,168,0.07489968791796701,false
33032,33032,,16606,23992,1869,7847,0.11254968083825123,0.32706735578526175,16538,16672,1810,1865,0.11186420345489444,false
33033,33033,,17727,21137,2620,5807,0.14779714559711174,0.27473151345980984,17696,17767,2593,2629,0.14797095739291946,false
33034,33034,,6825,9605,1423,3778,0.2084981684981685,0.3933368037480479,6777,7059,1381,1561,0.22113613826321007,false
33035,33035,,7223,7514,1861,2148,0.2576491762425585,0.2858663827521959,7211,7215,1849,1849,0.25627165627165627,false
33054,33054,,7063,10093,1027,3413,0.1454056349992921,0.33815515703953236,6983,7596,958,1195,0.15731964191679831,false
33055,33055,,10699,11153,686,1059,0.06411814188241892,0.09495203084371918,10694,10751,682,690,0.0641800762719747,false
33056,33056,,9039,12390,755,3418,0.083526938820666,0.2758676351896691,9017,9095,740,759,0.08345244639912039,false
33109,33109,,755,755,317,317,0.4198675496688742,0.4198675496688742,755,755,317,317,0.4198675496688742,false
33122,33122,,133,1552,50,1468,0.37593984962406013,0.9458762886597938,127,128,44,44,0.34375,false
33125,33125,,9239,19416,2059,9388,0.22285961684164954,0.4835187474248043,8821,11631,1739,2554,0.21958559023299803,false
33126,33126,,11941,18762,2226,7625,0.18641654802780336,0.40640656646412965,11810,12971,2118,2354,0.18148176701873409,false
33127,33127,,5266,12045,1750,7104,0.3323205469046715,0.5897882938978829,5097,6868,1622,2377,0.3460978450786255,false
33128,33128,,1037,5486,680,4752,0.6557377049180327,0.8662048851622312,874,1101,542,677,0.6148955495004541,false
33129,33129,,6774,7867,1652,2503,0.2438736344847948,0.31816448455573915,6738,7003,1624,1700,0.24275310581179493,false
33130,33130,,9680,19986,4299,13319,0.4441115702479339,0.6664164915440809,9226,10054,3917,4313,0.42898348915854384,false
33131,33131,,16264,17676,7097,8509,0.43636251844564683,0.4813871916723241,16161,16161,7092,7092,0.4388342305550399,false
33132,33132,,10796,15499,5046,9749,0.4673953316042979,0.6290083231176204,10782,10782,5032,5032,0.4667037655351512,false
33133,33133,,13019,16908,2644,5204,0.20308779476150243,0.30778329784717295,12930,14615,2572,3125,0.21382141635306193,false
33134,33134,,12680,17330,1796,5434,0.1416403785488959,0.3135603000577034,12385,13660,1582,2107,0.15424597364568082,false
33135,33135,,5262,14010,1471,7922,0.27955150133029266,0.5654532476802284,4627,6784,985,1762,0.25972877358490565,false
33136,33136,,2335,8499,892,6281,0.38201284796573876,0.7390281209554065,1884,2000,739,805,0.4025,false
33137,33137,,10015,17820,3956,11160,0.3950074887668497,0.6262626262626263,9875,10469,3855,4130,0.39449804183780685,false
33138,33138,,8481,13580,1510,5781,0.17804504185827144,0.42569955817378496,8244,9287,1328,1774,0.19101970496392806,false
33139,33139,,24780,31995,8209,13685,0.33127522195318804,0.42772308173152057,23956,24203,7908,8040,0.332190224352353,false
33140,33140,,13962,15770,3792,5276,0.27159432746024925,0.3345592897907419,13813,14036,3742,3794,0.2703049301795383,false
33141,33141,,15181,22118,4473,10307,0.29464462156643173,0.4660005425445339,14614,15575,4095,4655,0.298876404494382,false
33142,33142,,9776,18944,2118,8433,0.21665302782324058,0.4451541385135135,9552,13026,1938,3174,0.24366651312759097,false
33143,33143,,11277,15100,1687,5286,0.14959652389819988,0.3500662251655629,11231,11447,1644,1695,0.1480737311085874,false
33144,33144,,6137,8908,575,2434,0.09369398729020695,0.27323753929052536,6074,7066,527,782,0.11067081800169827,false
33145,33145,,8502,12165,1213,3256,0.14267231239708303,0.2676531031648171,8409,10365,1138,1603,0.1546550892426435,false
33146,33146,,4289,6117,554,2104,0.12916763814408952,0.3439594572502861,4275,4413,542,591,0.13392250169952413,false
33147,33147,,10675,14987,1235,3849,0.11569086651053864,0.25682257956895976,10598,12065,1178,1611,0.13352673021135517,false
33149,33149,,7043,7063,2407,2414,0.34175777367599036,0.34178111284156876,6913,6933,2407,2414,0.3481898168181163,false
33150,33150,,5505,8840,1199,3275,0.21780199818346957,0.37047511312217196,5335,6814,1117,1759,0.2581449955972997,false
33154,33154,,9412,10186,2844,3537,0.30216744581385463,0.34724131160416255,9056,9123,2790,2834,0.31064342869670064,false
33155,33155,,14027,17329,1235,3876,0.08804448563484708,0.22367130244099487,13988,14683,1205,1366,0.09303275897296193,false
33156,33156,,11829,13778,1562,3188,0.1320483557359033,0.23138336478443897,11819,12034,1553,1604,0.13328901445903274,false
33157,33157,,18840,24025,1428,5815,0.07579617834394904,0.2420395421436004,18802,19313,1392,1571,0.08134417231916326,false
33158,33158,,2264,2276,140,140,0.061837455830388695,0.061511423550087874,2264,2276,140,140,0.061511423550087874,false
33160,33160,,31207,34949,9578,12470,0.3069183196077803,0.3568056310624052,31130,31357,9552,9674,0.3085116560895494,false
33161,33161,,11428,19058,2352,8203,0.20581029051452573,0.4304229195088677,11155,13026,2150,2722,0.20896668202057422,false
33162,33162,,11558,15030,2010,4890,0.17390551998615678,0.3253493013972056,10788,11438,1925,2194,0.19181675118027627,false
33165,33165,,15353,17705,978,2462,0.06370090536051586,0.13905676362609432,15330,16180,960,1135,0.07014833127317677,false
33166,33166,,8610,12484,2063,5376,0.23960511033681767,0.4306312079461711,8530,8827,2001,2093,0.23711340206185566,false
33167,33167,,5175,6947,615,2058,0.11884057971014493,0.29624298258240966,5160,5282,601,633,0.11984096932979932,false
33168,33168,,6479,6950,527,698,0.08133971291866028,0.10043165467625899,6474,6860,522,608,0.08862973760932945,false
33169,33169,,10177,15263,1533,6288,0.15063378205758082,0.4119766756207823,10133,10325,1494,1572,0.15225181598062953,false
33170,33170,,4736,6021,441,1417,0.09311655405405406,0.23534296628467033,4725,4896,432,497,0.10151143790849673,false
33172,33172,,11111,15223,1742,3798,0.15678156781567815,0.24949090192471918,11097,11106,1732,1732,0.15595173779938773,false
33173,33173,,10821,12246,659,1640,0.06090010165419092,0.1339212804180957,10809,10848,649,654,0.06028761061946902,false
33174,33174,,8635,12334,878,3437,0.10167921250723798,0.27866061293984107,8588,9170,847,1021,0.1113413304252999,false
33175,33175,,16595,17089,923,960,0.055619162398312744,0.056176487799169054,16591,16668,921,929,0.055735541156707466,false
33176,33176,,17622,19636,1834,3426,0.10407445238905913,0.17447545324913424,17597,17710,1812,1841,0.10395256916996047,false
33177,33177,,15298,17765,802,3196,0.052425153614851616,0.1799043062200957,15282,15374,787,811,0.052751398464940806,false
33178,33178,,18575,23808,4066,8547,0.21889636608344548,0.3589969758064516,18559,18679,4053,4073,0.21805235826329034,false
33179,33179,,16150,19962,2145,4599,0.1328173374613003,0.23038773669972948,16134,16471,2134,2408,0.14619634509137272,false
33180,33180,,18339,20561,4442,6647,0.2422160423141938,0.3232819415398084,18233,18349,4432,4531,0.2469344378440242,false
33181,33181,,6240,10564,1639,4157,0.2626602564102564,0.3935062476334722,6092,6270,1595,1659,0.2645933014354067,false
33182,33182,,4039,4064,186,188,0.0460510027234464,0.04625984251968504,4039,4064,186,188,0.04625984251968504,false
33183,33183,,12424,12484,1038,1083,0.08354797166773986,0.08675104133290612,12422,12442,1036,1041,0.08366822054332101,false
33184,33184,,5536,5618,347,393,0.06268063583815028,0.06995372018511926,5535,5571,346,346,0.06210734159037875,false
33185,33185,,8503,8503,501,501,0.05892038104198518,0.05892038104198518,8503,8503,501,501,0.05892038104198518,false
