geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Hialeah Gardens,sfr_1_4,trust,14,14,2592,2607,0.005401234567901234,0.005370157268891446
Pinecrest,condo_unit,llc,126,126,759,759,0.16600790513833993,0.16600790513833993
Opa-locka,condo_unit,lender_reo,1,1,261,261,0.0038314176245210726,0.0038314176245210726
Sweetwater,small_mf,corp,5,60,29,277,0.1724137931034483,0.21660649819494585
North Miami Beach,small_mf,llc,53,490,89,812,0.5955056179775281,0.603448275862069
Surfside,sfr_1_4,trust,5,5,1105,1131,0.004524886877828055,0.004420866489832007
Biscayne Park,sfr_1_4,estate,3,3,1043,1249,0.0028763183125599234,0.0024019215372297837
Homestead,small_mf,unknown,1,5,112,1067,0.008928571428571428,0.004686035613870665
Unincorporated County,coop_building,coop_corp,647,647,660,660,0.9803030303030303,0.9803030303030303
Unincorporated County,coop_building,trust,2,2,660,660,0.0030303030303030303,0.0030303030303030303
Sunny Isles Beach,condo_unit,lender_reo,7,7,18631,18631,0.00037571788953894047,0.00037571788953894047
Surfside,sfr_1_4,lender_reo,2,2,1105,1131,0.0018099547511312218,0.0017683465959328027
Miami Beach,condo_unit,lender_reo,16,16,43184,43184,0.0003705075954057058,0.0003705075954057058
Miami Springs,sfr_1_4,estate,10,11,3485,3701,0.0028694404591104736,0.0029721696838692245
Miami,large_mf,llc,384,34443,609,54179,0.6305418719211823,0.6357260193063733
Sweetwater,large_mf,individual,5,607,17,3128,0.29411764705882354,0.1940537084398977
Surfside,sfr_1_4,partnership,1,1,1105,1131,0.0009049773755656109,0.0008841732979664014
Sweetwater,large_mf,corp,2,144,17,3128,0.11764705882352941,0.04603580562659847
Bay Harbor Islands,sfr_1_4,llc,50,78,312,345,0.16025641025641027,0.22608695652173913
North Bay Village,condo_unit,corp,136,136,3031,3031,0.04486967997360607,0.04486967997360607
Aventura,sfr_1_4,llc,107,120,892,905,0.11995515695067265,0.13259668508287292
Coral Gables,large_mf,corp,9,347,37,2520,0.24324324324324326,0.1376984126984127
Florida City,large_mf,individual,3,189,22,2027,0.13636363636363635,0.09324124321657622
Virginia Gardens,sfr_1_4,estate,4,4,513,589,0.007797270955165692,0.006791171477079796
Hialeah Gardens,sfr_1_4,unknown,139,140,2592,2607,0.053626543209876545,0.05370157268891446
