building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
condo_unit,coop_corp,4,4,323166,323166,0.000012377539716430565,0.000012377539716430565
condo_unit,estate,807,807,323166,323166,0.0024971686377898666,0.0024971686377898666
sfr_1_4,llc,34351,45612,481960,521150,0.07127354967217196,0.08752182672934855
condo_unit,unknown,8123,8123,323166,323166,0.02513568877914137,0.02513568877914137
coop_building,trust,15,15,2698,2698,0.005559673832468495,0.005559673832468495
large_mf,individual,113,13697,1917,191779,0.05894627021387585,0.07142074992569572
small_mf,partnership,47,519,4669,42262,0.010066395373741701,0.01228053570583503
condo_unit,lender_reo,109,109,323166,323166,0.0003372879572727329,0.0003372879572727329
small_mf,llc,2692,24912,4669,42262,0.5765688584279289,0.5894657138800814
condo_unit,corp,19158,19158,323166,323166,0.05928222647184419,0.05928222647184419
condo_unit,individual,218629,218629,323166,323166,0.6765222826658746,0.6765222826658746
coop_building,coop_corp,2643,2643,2698,2698,0.9796145292809488,0.9796145292809488
sfr_1_4,coop_corp,1,1,481960,521150,2.0748609843140508e-6,1.9188333493236114e-6
condo_unit,llc,74210,74210,323166,323166,0.22963430558907805,0.22963430558907805
large_mf,trust,12,929,1917,191779,0.006259780907668232,0.004844117447687182
coop_building,lender_reo,1,1,2698,2698,0.00037064492216456633,0.00037064492216456633
sfr_1_4,estate,2587,2749,481960,521150,0.00536766536642045,0.005274872877290607
sfr_1_4,lender_reo,131,138,481960,521150,0.0002718067889451407,0.00026479900220665833
large_mf,unknown,60,7904,1917,191779,0.03129890453834116,0.04121410581971957
large_mf,partnership,94,14589,1917,191779,0.04903495044340115,0.07607193696911549
large_mf,llc,1140,117026,1917,191779,0.594679186228482,0.6102127970215717
small_mf,individual,813,6481,4669,42262,0.17412722210323409,0.15335289385263356
large_mf,corp,498,37634,1917,191779,0.2597809076682316,0.19623629281621033
sfr_1_4,unknown,20392,21646,481960,521150,0.042310565192132124,0.04153506667945889
sfr_1_4,partnership,2351,2449,481960,521150,0.0048779981741223334,0.004699222872493524
small_mf,corp,947,8840,4669,42262,0.2028271578496466,0.20917135961383748
sfr_1_4,trust,1381,1679,481960,521150,0.002865383019337704,0.0032217211935143433
small_mf,estate,3,30,4669,42262,0.000642535874919683,0.0007098575552505797
small_mf,trust,43,386,4669,42262,0.00920968087384879,0.009133500544224125
condo_unit,partnership,821,821,323166,323166,0.0025404900267973736,0.0025404900267973736
sfr_1_4,corp,7075,9537,481960,521150,0.014679641464021911,0.01829991365249928
sfr_1_4,individual,413691,437339,481960,521150,0.858351315461864,0.8391806581598388
coop_building,estate,39,39,2698,2698,0.014455151964418088,0.014455151964418088
small_mf,unknown,124,1094,4669,42262,0.02655814949668023,0.025886138848137806
condo_unit,trust,1305,1305,323166,323166,0.004038172332485472,0.004038172332485472
