year,sales,units,entity_sales,entity_units,sale_share,unit_share
2003,26937,91475,4502,41856,0.16713071240301444,0.4575676414320853
2004,44488,148936,6410,64576,0.14408379787807948,0.4335822098082398
2005,43099,165356,5986,84251,0.13888953339984686,0.5095128087278357
2006,38560,160439,5147,86404,0.13348029045643153,0.5385473606791367
2007,29242,127941,4353,72834,0.14886122700225704,0.5692780265903815
2008,20880,89019,3717,52337,0.17801724137931035,0.5879306664869297
2009,17297,54737,3180,25627,0.18384690986876337,0.46818422639165463
2010,18369,67161,3957,36778,0.21541727911154662,0.5476094757374071
2011,17035,70169,4301,41820,0.2524801878485471,0.5959896820533284
2012,18834,93989,5524,64968,0.2932993522353191,0.691229824766728
2013,22165,105559,7165,73575,0.3232573877735168,0.6970035714624049
2014,21978,128523,7465,96878,0.33965783965783963,0.7537794791593723
2015,23884,126715,8226,92255,0.3444146709093954,0.7280511383814071
2016,23774,111492,7817,70766,0.3288045764280306,0.6347181860581925
2017,23177,82147,7166,48285,0.30918583078051515,0.5877877463571403
2018,22912,101244,7406,69091,0.32323673184357543,0.6824206866579748
2019,20985,73868,6402,42804,0.3050750536097212,0.5794660746195917
2020,15526,52368,4117,31050,0.2651681051140023,0.5929193400549955
2021,22345,74072,5237,40694,0.2343701051689416,0.5493843827627174
2022,23096,95443,6787,65051,0.2938604087287842,0.6815691040725879
2023,16588,58143,5249,34302,0.31643356643356646,0.5899592384293896
2024,17149,58240,5688,34975,0.3316811475887807,0.6005322802197802
2025,17937,62562,6547,39160,0.36499972124658525,0.6259390684441034
