year,sales,units,entity_sales,entity_units,sale_share,unit_share
2003,23402,43009,2736,5702,0.11691308435176481,0.13257690250877724
2004,39127,72048,3745,8120,0.09571395711401334,0.112702642682656
2005,37525,69397,2958,6425,0.07882744836775483,0.0925832528783665
2006,33846,62980,2459,5299,0.07265260296637711,0.08413782153064465
2007,25115,46089,1785,3745,0.07107306390603225,0.08125583110937534
2008,17919,32295,1738,3520,0.09699201964395335,0.10899520049543272
2009,15605,27167,2087,3994,0.1337391861582826,0.14701660102330033
2010,16296,28568,2522,4894,0.15476190476190477,0.17131055726687203
2011,14636,25704,2534,4949,0.17313473626673956,0.19253812636165576
2012,15669,27757,2996,6016,0.19120556512859788,0.21673812011384516
2013,18290,32645,3902,8103,0.21334062329141606,0.24821565323939349
2014,18025,32351,4095,8467,0.22718446601941747,0.26172297610583906
2015,19800,35335,4692,9790,0.23696969696969697,0.27706240271685295
2016,20313,35731,4803,9893,0.23644956431841677,0.27687442277014357
2017,20309,35126,4763,9505,0.23452656457728102,0.2705972783692991
2018,20008,34442,4874,9566,0.24360255897640942,0.2777422913884211
2019,18780,32335,4518,8930,0.24057507987220447,0.2761713313746714
2020,13985,23336,2774,5450,0.19835538076510548,0.2335447377442578
2021,19997,33488,3218,6427,0.1609241386207931,0.19191949354992832
2022,20053,34521,4060,8238,0.2024634717997307,0.23863735117754412
2023,14511,24934,3430,6902,0.2363724071394115,0.2768107804604155
2024,15000,25675,3823,7704,0.2548666666666667,0.30005842259006815
2025,15724,27210,4587,9151,0.2917196642075808,0.3363101800808526
