as_of,year,parcels,units,entity_parcels,entity_units,parcel_share,unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_unit_share,coverage_parcels
2003-12-31,2003,43332,162346,5848,76108,0.13495799870765254,0.46880120237024625,37202,68029,0.08477267047876641,0.05630339232253602
2004-12-31,2004,103663,368551,11952,161201,0.1152966825193174,0.4373912972695773,89436,163064,0.06421405092479027,0.13465733532487317
2005-12-31,2005,151702,547848,17140,246488,0.11298466730827543,0.44992041588177745,130400,237009,0.05520043542650279,0.19706901048932446
2006-12-31,2006,188968,712728,21558,337632,0.11408280767114008,0.4737178839613429,161922,294372,0.05026293261587379,0.24545512352175533
2007-12-31,2007,217158,831812,25377,404236,0.11685961373746305,0.4859703875394921,185527,337009,0.04845864650498948,0.28208665274665096
2008-12-31,2008,238202,918634,29148,453030,0.12236673075792814,0.4931561427075418,202968,368400,0.05037459283387622,0.3094344225810512
2009-12-31,2009,254498,983700,31999,491396,0.1257337975151082,0.4995384771780014,216843,392877,0.054072903224164304,0.3306155129880495
2010-12-31,2010,269576,1039444,34742,520576,0.128876457844912,0.5008215930824557,229702,415489,0.057077323346707134,0.35019913235650985
2011-12-31,2011,284231,1102810,37594,555868,0.13226565715914168,0.5040469346487609,241914,436896,0.059368820039551747,0.369245503138492
2012-12-31,2012,300133,1171343,41349,598968,0.137768922444383,0.511351499944935,254971,459980,0.06324188008174268,0.3899165966989059
2013-12-31,2013,316917,1236124,46233,639749,0.14588362252577172,0.51754435639143,268804,484259,0.06990474105798757,0.41172058401776296
2014-12-31,2014,332362,1313194,51334,696498,0.15445207334171776,0.5303846956352222,281364,506377,0.0767353177573231,0.43179603240621184
2015-12-31,2015,348519,1379772,56772,741900,0.16289499281244352,0.5376975326358268,294648,529745,0.08415747199124107,0.4527850629320536
2016-12-31,2016,364411,1443594,61947,779824,0.16999212427725838,0.540196204750089,308059,553159,0.09131551687670272,0.4734263093487743
2017-12-31,2017,379346,1495653,66532,810637,0.17538605916498395,0.5419953692467437,320832,575328,0.09762952611379944,0.49281527343227877
2018-12-31,2018,393383,1552395,71299,849307,0.1812457579509028,0.547094650523868,332858,596174,0.10465568776900704,0.5110505805269449
2019-12-31,2019,406279,1596506,75165,872794,0.18500833171293618,0.5466900844719657,344075,615674,0.10933545999993503,0.5278142936673444
2020-12-31,2020,416502,1627782,77369,891274,0.1857590119615272,0.5475389210594539,353103,631171,0.1110317172366918,0.5410910818032346
2021-12-31,2021,429311,1669084,80187,915184,0.18678067880860263,0.548315123744521,364354,650282,0.11250657407094153,0.5577172385422655
2022-12-31,2022,442868,1716412,84648,947176,0.19113595924745072,0.5518348741444362,376149,670640,0.11798133126565669,0.5753530073592674
2023-12-31,2023,454046,1749002,88379,963222,0.19464767886954185,0.5507266429655312,386066,687761,0.12335098966065247,0.5898781847226746
2024-12-31,2024,465169,1786220,92449,983301,0.1987428225010695,0.5504926604785525,395834,704582,0.12910633538750635,0.6043164160588015
2025-12-31,2025,476496,1819684,96865,999398,0.20328607165642523,0.5492151384526105,405983,721955,0.13600847698263743,0.6190245693900671
