nta,nta_name,borough,parcels,units,entity_parcels,entity_units,entity_parcel_share,entity_unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_parcels,sfr_condo_entity_units,sfr_condo_entity_unit_share,suppressed
BK0101,Greenpoint,Brooklyn,4085,26719,1479,15354,0.3620563035495716,0.5746472547625285,2202,6926,414,1827,0.26378862258157665,false
BK0102,Williamsburg,Brooklyn,2835,33607,1463,19484,0.5160493827160494,0.5797601690124081,1099,5728,364,1456,0.2541899441340782,false
BK0103,South Williamsburg,Brooklyn,1780,12126,579,6235,0.3252808988764045,0.5141843971631206,1226,5176,292,1297,0.2505795981452859,false
BK0104,East Williamsburg,Brooklyn,3302,23140,1556,12745,0.47122955784373105,0.5507778738115817,1597,4953,391,1437,0.2901271956390067,false
BK0201,Brooklyn Heights,Brooklyn,1269,14116,465,5098,0.3664302600472813,0.36115046755454805,619,1417,153,380,0.2681721947776994,false
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,1563,26364,652,17199,0.4171465131158029,0.6523668639053254,862,2614,160,688,0.2631981637337414,false
BK0203,Fort Greene,Brooklyn,1774,17130,552,9484,0.3111612175873732,0.5536485697606538,1286,4113,243,1235,0.300267444687576,false
BK0204,Clinton Hill,Brooklyn,2024,14821,612,5567,0.30237154150197626,0.3756156804534107,1462,4414,279,999,0.22632532850022655,false
BK0301,Bedford-Stuyvesant (West),Brooklyn,6628,33342,2327,16850,0.35108630054315026,0.5053686041629176,4905,14550,1176,3871,0.2660481099656357,false
BK0302,Bedford-Stuyvesant (East),Brooklyn,8446,33572,2399,15457,0.28403978214539427,0.46041343977123794,6752,16623,1205,3521,0.21181495518257837,false
BK0401,Bushwick (West),Brooklyn,4142,23958,2087,15750,0.5038628681796233,0.6574004507888805,1786,4588,397,1208,0.2632955536181343,false
BK0402,Bushwick (East),Brooklyn,5952,23695,2106,12331,0.3538306451612903,0.5204051487655623,4493,11182,1071,3285,0.29377571096404936,false
BK0501,Cypress Hills,Brooklyn,4809,13054,665,3095,0.13828238719068414,0.23709207905622798,4213,8457,357,845,0.09991722833155965,false
BK0502,East New York (North),Brooklyn,4584,14921,795,5068,0.17342931937172776,0.33965551906708663,3981,7791,450,1118,0.1434989089975613,false
BK0503,East New York-New Lots,Brooklyn,4933,18493,711,6346,0.14413136022704237,0.34315687016709023,4382,9255,435,1229,0.13279308481901675,false
BK0504,Spring Creek-Starrett City,Brooklyn,570,14885,9,9765,0.015789473684210527,0.6560295599596909,489,808,2,4,0.0049504950495049506,false
BK0505,East New York-City Line,Brooklyn,3459,10478,443,2620,0.12807169702226076,0.2500477190303493,3094,6574,263,771,0.11728019470641923,false
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,5880,31490,1880,17338,0.3197278911564626,0.5505874880914576,4278,12396,916,2817,0.22725072604065827,false
BK0602,Park Slope,Brooklyn,6476,30079,1666,12154,0.25725756639901176,0.40406928421822536,4628,12195,669,2057,0.16867568675686756,false
BK0701,Windsor Terrace-South Slope,Brooklyn,3154,12077,550,4073,0.17438173747622068,0.3372526289641467,2704,5959,266,881,0.14784359791911394,false
BK0702,Sunset Park (West),Brooklyn,4630,17585,1306,7697,0.28207343412527,0.43770258743247087,3336,8168,431,1218,0.1491185112634672,false
BK0703,Sunset Park (Central),Brooklyn,3938,14154,1045,5502,0.26536312849162014,0.3887240356083086,2795,6760,342,865,0.1279585798816568,false
BK0801,Prospect Heights,Brooklyn,1673,12590,583,6388,0.3484757919904363,0.507386814932486,1007,3240,186,735,0.22685185185185186,false
BK0802,Crown Heights (North),Brooklyn,5624,35298,2103,20269,0.37393314366998576,0.5742251685647912,3536,9237,664,2004,0.21695355634946412,false
BK0901,Crown Heights (South),Brooklyn,2769,21087,691,12425,0.24954857349223547,0.5892255892255892,2084,4373,233,809,0.1849988566201692,false
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn,3572,20995,898,12960,0.25139977603583424,0.617289830912122,2785,5528,346,968,0.17510853835021709,false
BK1001,Bay Ridge,Brooklyn,9686,37302,1602,13697,0.16539335122857732,0.36719210766178756,7665,13312,442,984,0.07391826923076923,false
BK1002,Dyker Heights,Brooklyn,6524,15127,756,3506,0.11587982832618025,0.23177100548687776,5791,11103,309,869,0.07826713500855624,false
BK1061,Fort Hamilton,Brooklyn,11,522,0,0,0.0,0.0,10,21,0,0,0.0,false
BK1101,Bensonhurst,Brooklyn,10678,34668,1568,10694,0.14684397827308485,0.3084689050421138,9106,20819,614,1727,0.08295307171333878,false
BK1102,Bath Beach,Brooklyn,3657,12046,440,4032,0.12031719989062073,0.3347169184791632,3250,7371,191,587,0.0796364129697463,false
BK1103,Gravesend (West),Brooklyn,6462,20584,770,6215,0.11915815536985454,0.3019335406140692,5733,12763,334,949,0.07435555903784377,false
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,2336,10176,682,4112,0.2919520547945205,0.40408805031446543,1647,4368,270,717,0.16414835164835165,false
BK1202,Borough Park,Brooklyn,7900,25601,1934,9646,0.2448101265822785,0.37678215694699424,6348,15370,1050,2874,0.1869876382563435,false
BK1203,Kensington,Brooklyn,2833,14396,466,4640,0.16448993999294034,0.3223117532647958,2379,5120,207,579,0.1130859375,false
BK1204,Mapleton-Midwood (West),Brooklyn,4858,13127,820,3845,0.16879374228077398,0.2929077473908738,4479,8300,582,1405,0.16927710843373495,false
BK1301,Gravesend (South),Brooklyn,2253,9932,242,1744,0.10741233910341766,0.175594039468385,2115,4857,172,436,0.08976734609841466,false
BK1302,Coney Island-Sea Gate,Brooklyn,2267,20652,305,6391,0.1345390383767093,0.30946155336044934,2006,3255,158,538,0.16528417818740399,false
BK1303,Brighton Beach,Brooklyn,1631,14805,464,6088,0.28448804414469653,0.41121242823370485,1166,3680,180,605,0.1644021739130435,false
BK1401,Flatbush,Brooklyn,2472,28962,875,19370,0.35396440129449835,0.6688074028036738,1414,2685,113,367,0.1366852886405959,false
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,3037,16087,538,7623,0.1771485018109977,0.47386088145707717,2401,4009,142,412,0.10276877026689947,false
BK1403,Midwood,Brooklyn,5364,19753,717,8973,0.13366890380313198,0.4542601123879917,4793,7027,359,771,0.10971965276789526,false
BK1501,Gravesend (East)-Homecrest,Brooklyn,6291,19364,1272,6019,0.20219360991893182,0.31083453831852925,5504,10185,749,1467,0.14403534609720176,false
BK1502,Madison,Brooklyn,5638,15976,522,5825,0.09258602341255764,0.36460941412118175,5159,7732,231,527,0.0681583031557165,false
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,8699,25530,650,4833,0.07472123232555467,0.18930669800235017,8247,14249,450,1317,0.09242753877465085,false
BK1601,Ocean Hill,Brooklyn,3351,15232,1015,5927,0.30289465831095197,0.38911502100840334,2615,6579,546,1518,0.23073415412676698,false
BK1602,Brownsville,Brooklyn,3612,17203,601,5601,0.16638981173864895,0.32558274719525665,3057,6065,276,883,0.14558944765045342,false
BK1701,East Flatbush-Erasmus,Brooklyn,3453,21315,998,13884,0.2890240370692152,0.6513722730471498,2449,5204,253,705,0.1354727132974635,false
BK1702,East Flatbush-Farragut,Brooklyn,4883,12876,337,3034,0.06901494982592668,0.23563218390804597,4622,7160,155,312,0.04357541899441341,false
BK1703,East Flatbush-Rugby,Brooklyn,5425,14110,655,4440,0.12073732718894009,0.3146704464918498,4822,9026,291,678,0.07511633060048747,false
BK1704,East Flatbush-Remsen Village,Brooklyn,3318,14025,523,5892,0.15762507534659434,0.42010695187165775,2873,7336,250,801,0.1091875681570338,false
BK1801,Flatlands,Brooklyn,10869,20506,678,3287,0.06237924372067347,0.1602945479371891,10391,15221,369,669,0.0439524341370475,false
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,10821,16859,605,1597,0.05590980500877923,0.09472685212646065,10579,15766,465,1235,0.07833312190790308,false
BK1803,Canarsie,Brooklyn,11969,23992,540,1465,0.045116551090316655,0.06106202067355785,11690,22932,420,911,0.03972614686900401,false
BX0101,Mott Haven-Port Morris,Bronx,1454,19333,548,12303,0.3768913342503439,0.6363730409144985,882,2052,140,313,0.15253411306042886,false
BX0102,Melrose,Bronx,1230,13692,390,6719,0.3170731707317073,0.490724510663161,810,2245,100,268,0.11937639198218263,false
BX0201,Hunts Point,Bronx,558,6095,167,2204,0.2992831541218638,0.3616078753076292,398,989,86,235,0.23761375126390294,false
BX0202,Longwood,Bronx,1299,15696,399,7297,0.3071593533487298,0.4648955147808359,864,2845,146,799,0.28084358523725833,false
BX0301,Morrisania,Bronx,1096,13816,381,6164,0.3476277372262774,0.4461493920092646,677,1837,134,352,0.19161676646706588,false
BX0302,Claremont Village-Claremont (East),Bronx,245,4454,74,2137,0.3020408163265306,0.4797934440951953,127,274,10,25,0.09124087591240876,false
BX0303,Crotona Park East,Bronx,1390,12968,335,5462,0.24100719424460432,0.4211906230721777,1045,2162,139,350,0.16188714153561518,false
BX0401,Concourse-Concourse Village,Bronx,1023,26595,495,16985,0.4838709677419355,0.6386538823087047,473,1465,99,274,0.18703071672354948,false
BX0402,Highbridge,Bronx,618,12703,239,6676,0.38673139158576053,0.5255451468157128,330,830,73,213,0.25662650602409637,false
BX0403,Mount Eden-Claremont (West),Bronx,803,18773,337,11221,0.41967621419676215,0.5977201299738987,417,1035,79,199,0.19227053140096617,false
BX0501,University Heights (South)-Morris Heights,Bronx,1308,20037,392,12402,0.2996941896024465,0.6189549333732595,894,1910,111,276,0.14450261780104712,false
BX0502,Mount Hope,Bronx,865,20556,457,14753,0.5283236994219653,0.7176979957190115,380,816,92,212,0.25980392156862747,false
BX0503,Fordham Heights,Bronx,506,11100,273,8275,0.5395256916996047,0.7454954954954955,196,499,42,189,0.3787575150300601,false
BX0601,West Farms,Bronx,442,8552,144,3953,0.3257918552036199,0.4622310570626754,251,1022,30,235,0.2299412915851272,false
BX0602,Tremont,Bronx,1383,13697,413,6850,0.29862617498192334,0.5001095130320509,998,2237,185,452,0.20205632543585159,false
BX0603,Belmont,Bronx,1287,13358,730,9293,0.5672105672105672,0.6956879772421021,659,1637,247,675,0.41233964569334147,false
BX0701,University Heights (North)-Fordham,Bronx,882,15683,419,10619,0.47505668934240364,0.6771025951667411,466,1155,83,177,0.15324675324675324,false
BX0702,Bedford Park,Bronx,1119,23670,562,16896,0.5022341376228776,0.7138149556400507,538,1357,116,255,0.18791451731761238,false
BX0703,Norwood,Bronx,862,15681,379,11638,0.4396751740139211,0.7421720553536126,470,1092,69,154,0.14102564102564102,false
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,908,13744,265,7789,0.2918502202643172,0.5667200232828871,652,1253,79,172,0.1372705506783719,false
BX0802,Kingsbridge-Marble Hill,Bronx,680,8014,156,4890,0.22941176470588234,0.6101821811829299,541,960,55,110,0.11458333333333333,false
BX0803,Riverdale-Spuyten Duyvil,Bronx,2482,22572,290,4023,0.1168412570507655,0.17822966507177032,2218,3730,201,447,0.11983914209115282,false
BX0901,Soundview-Bruckner-Bronx River,Bronx,3440,22090,682,9430,0.19825581395348837,0.4268899954730647,2992,8023,379,1178,0.14682786987411192,false
BX0902,Soundview-Clason Point,Bronx,2516,10097,266,2852,0.10572337042925278,0.2824601366742597,2405,5512,194,406,0.07365747460087083,false
BX0903,Castle Hill-Unionport,Bronx,3373,11751,325,4139,0.0963533946042099,0.35222534252404053,3200,6216,206,504,0.08108108108108109,false
BX0904,Parkchester,Bronx,277,14182,78,4928,0.2815884476534296,0.3474827245804541,203,7819,30,4051,0.5180969433431385,false
BX1001,Westchester Square,Bronx,1383,5366,254,2492,0.1836587129428778,0.4644055162131942,1174,2542,106,263,0.1034618410700236,false
BX1002,Throgs Neck-Schuylerville,Bronx,7611,15189,669,2304,0.08789909341742215,0.15168872210152085,7376,12484,529,1242,0.09948734380006408,false
BX1003,Pelham Bay-Country Club-City Island,Bronx,4605,12326,546,4278,0.11856677524429968,0.3470712315430797,4294,7274,337,744,0.10228210063238934,false
BX1004,Co-op City,Bronx,95,15897,12,18,0.12631578947368421,0.0011322891111530478,86,322,11,18,0.055900621118012424,false
BX1101,Pelham Parkway-Van Nest,Bronx,1761,11738,428,6587,0.24304372515616127,0.5611688532969842,1470,3225,213,574,0.177984496124031,false
BX1102,Morris Park,Bronx,3594,9069,395,2990,0.10990539788536449,0.3296945638989966,3378,6060,254,601,0.09917491749174917,false
BX1103,Pelham Gardens,Bronx,4959,8177,292,779,0.05888283928211333,0.09526721291427173,4865,7773,241,501,0.06445387881126978,false
BX1104,Allerton,Bronx,1464,12461,350,7675,0.2390710382513661,0.6159216756279592,1174,2756,132,468,0.16981132075471697,false
BX1161,Hutchinson Metro Center,Bronx,9,217,2,4,0.2222222222222222,0.018433179723502304,5,10,1,2,0.2,false
BX1201,Williamsbridge-Olinville,Bronx,5733,22136,1054,9331,0.1838478981336124,0.42153053848933864,5066,10377,587,1524,0.14686325527609134,false
BX1202,Eastchester-Edenwald-Baychester,Bronx,6319,14894,491,2898,0.07770216806456717,0.19457499664294348,6185,11051,411,912,0.08252646819292371,false
BX1203,Wakefield-Woodlawn,Bronx,6276,18269,660,5964,0.10516252390057361,0.3264546499534731,5841,10406,378,861,0.08274072650394003,false
BX2891,Pelham Bay Park,Bronx,1,1,0,0,,,1,1,0,0,,true
MN0101,Financial District-Battery Park City,Manhattan,286,36402,150,15613,0.5244755244755245,0.42890500521949343,22,1064,7,101,0.09492481203007519,false
MN0102,Tribeca-Civic Center,Manhattan,641,12059,286,5345,0.44617784711388453,0.4432374160378141,89,926,36,318,0.3434125269978402,false
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,1183,15321,688,8730,0.5815722738799662,0.5698061484237321,105,389,51,106,0.27249357326478146,false
MN0202,Greenwich Village,Manhattan,839,18276,436,6405,0.5196662693682956,0.3504596191726855,170,613,86,238,0.38825448613376834,false
