nta,nta_name,borough
BK0101,Greenpoint,Brooklyn
BK0102,Williamsburg,Brooklyn
BK0103,South Williamsburg,Brooklyn
BK0104,East Williamsburg,Brooklyn
BK0201,Brooklyn Heights,Brooklyn
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn
BK0203,Fort Greene,Brooklyn
BK0204,Clinton Hill,Brooklyn
BK0261,Brooklyn Navy Yard,Brooklyn
BK0301,Bedford-Stuyvesant (West),Brooklyn
BK0302,Bedford-Stuyvesant (East),Brooklyn
BK0401,Bushwick (West),Brooklyn
BK0402,Bushwick (East),Brooklyn
BK0471,The Evergreens Cemetery,Brooklyn
BK0501,Cypress Hills,Brooklyn
BK0502,East New York (North),Brooklyn
BK0503,East New York-New Lots,Brooklyn
BK0504,Spring Creek-Starrett City,Brooklyn
BK0505,East New York-City Line,Brooklyn
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn
BK0602,Park Slope,Brooklyn
BK0701,Windsor Terrace-South Slope,Brooklyn
BK0702,Sunset Park (West),Brooklyn
BK0703,Sunset Park (Central),Brooklyn
BK0771,Green-Wood Cemetery,Brooklyn
BK0801,Prospect Heights,Brooklyn
BK0802,Crown Heights (North),Brooklyn
BK0891,Lincoln Terrace Park,Brooklyn
BK0901,Crown Heights (South),Brooklyn
BK0902,Prospect Lefferts Gardens-Wingate,Brooklyn
BK1001,Bay Ridge,Brooklyn
BK1002,Dyker Heights,Brooklyn
BK1061,Fort Hamilton,Brooklyn
BK1091,Dyker Beach Park,Brooklyn
BK1101,Bensonhurst,Brooklyn
BK1102,Bath Beach,Brooklyn
BK1103,Gravesend (West),Brooklyn
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn
BK1202,Borough Park,Brooklyn
BK1203,Kensington,Brooklyn
BK1204,Mapleton-Midwood (West),Brooklyn
BK1301,Gravesend (South),Brooklyn
BK1302,Coney Island-Sea Gate,Brooklyn
BK1303,Brighton Beach,Brooklyn
BK1391,Calvert Vaux Park,Brooklyn
