geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Bronx,mixed_use_res,individual,817,10389,4313,115995,0.1894273127753304,0.08956420535367904
Staten Island,small_mf,hdfc,1,17,305,2565,0.003278688524590164,0.006627680311890838
Queens,mixed_use_res,estate,2,72,13176,121183,0.00015179113539769278,0.0005941427427939562
Bronx,mixed_use_res,corp,738,22101,4313,115995,0.17111059587294228,0.19053407474460107
Queens,other_res,individual,356,380,702,864,0.5071225071225072,0.4398148148148148
Queens,small_mf,corp,579,4680,6151,44778,0.09413103560396684,0.10451561034436553
Bronx,mixed_use_res,hdfc,256,14931,4313,115995,0.05935543705077672,0.12872106556317084
Manhattan,large_mf,corp,449,20292,3900,198931,0.11512820512820512,0.10200521788962003
Brooklyn,large_mf,partnership,97,6404,3824,211297,0.02536610878661088,0.03030804980667023
Queens,condo_unit,corp,25,996,687,24153,0.036390101892285295,0.041237113402061855
Brooklyn,small_mf,coop_corp,11,84,15127,116569,0.0007271765716929993,0.0007206032478617814
Manhattan,condo_unit,corp,27,951,1002,29888,0.02694610778443114,0.03181879014989293
Bronx,mixed_use_res,coop_corp,1,4,4313,115995,0.00023185717597959656,0.0000344842450105608
Brooklyn,coop_building,trust,1,75,1908,82500,0.0005241090146750524,0.0009090909090909091
Brooklyn,condo_unit,corp,79,1575,4406,43501,0.017930095324557423,0.036206064228408545
Brooklyn,sfr_1_4,hdfc,231,714,199618,391153,0.0011572102716187918,0.0018253726802555522
Manhattan,sfr_1_4,corp,235,606,6456,13750,0.036400247831474594,0.04407272727272727
Staten Island,large_mf,unknown,18,1849,130,11757,0.13846153846153847,0.15726801054690823
Brooklyn,other_res,individual,395,449,774,953,0.5103359173126615,0.47114375655823715
Queens,sfr_1_4,unknown,1576,2518,274103,428931,0.005749663447682076,0.005870408060970179
Queens,coop_building,lender_reo,1,91,1016,122828,0.000984251968503937,0.0007408734164848406
Brooklyn,sfr_1_4,unknown,1494,3093,199618,391153,0.007484295003456602,0.007907391736737287
Staten Island,sfr_1_4,llc,3892,6890,109550,143849,0.035527156549520766,0.047897448018408194
Brooklyn,mixed_use_res,unknown,956,16004,24629,215001,0.03881602988347071,0.07443686308435775
Queens,mixed_use_res,trust,565,1395,13176,121183,0.04288099574984821,0.011511515641632903
Manhattan,mixed_use_res,hdfc,225,10355,11909,398397,0.018893273994457973,0.025991661583797065
Staten Island,mixed_use_res,unknown,28,101,1752,5167,0.01598173515981735,0.019547125991871493
Bronx,condo_unit,unknown,14,4792,121,13967,0.11570247933884298,0.3430944368869478
Brooklyn,mixed_use_res,corp,3116,20043,24629,215001,0.1265175199967518,0.09322282221943154
Brooklyn,large_mf,coop_corp,4,166,3824,211297,0.0010460251046025104,0.0007856240268437318
Bronx,other_res,individual,82,44,183,185,0.44808743169398907,0.23783783783783785
Brooklyn,small_mf,partnership,230,1919,15127,116569,0.015204601044489984,0.01646235276960427
