geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
QN0104,mixed_use_res,unknown,21,200,427,2559,0.04918032786885246,0.07815552950371239,false
MN1203,other_res,unknown,1,1,2,3,,,true
BK1602,sfr_1_4,lender_reo,4,8,3051,5813,0.0013110455588331695,0.0013762257010149664,false
QN0201,mixed_use_res,corp,30,97,256,22121,0.1171875,0.004384973554540934,false
QN0503,mixed_use_res,unknown,9,15,356,798,0.025280898876404494,0.018796992481203006,false
MN0803,small_mf,partnership,7,103,265,3352,0.026415094339622643,0.030727923627684964,false
QN0105,sfr_1_4,llc,122,290,815,1846,0.14969325153374233,0.1570964247020585,false
MN0102,other_res,coop_corp,1,4,11,22,0.09090909090909091,0.18181818181818182,false
SI0305,mixed_use_res,trust,1,1,71,140,0.014084507042253521,0.007142857142857143,false
BX0102,coop_building,hdfc,4,75,6,140,0.6666666666666666,0.5357142857142857,false
BK1203,small_mf,llc,44,395,84,688,0.5238095238095238,0.5741279069767442,false
SI0105,small_mf,llc,12,107,21,180,0.5714285714285714,0.5944444444444444,false
BK0104,sfr_1_4,unknown,21,58,1418,3346,0.014809590973201692,0.017334130304841603,false
QN0905,sfr_1_4,unknown,22,36,5505,9086,0.003996366939146231,0.003962139555359894,false
QN1303,sfr_1_4,llc,168,282,10963,13419,0.015324272553133267,0.021014978761457633,false
BX1203,mixed_use_res,hdfc,5,541,174,2321,0.028735632183908046,0.23308918569582077,false
BX1201,small_mf,partnership,1,13,304,2584,0.003289473684210526,0.005030959752321981,false
MN0201,small_mf,trust,1,5,66,634,0.015151515151515152,0.007886435331230283,false
MN1202,mixed_use_res,trust,2,53,227,9502,0.00881057268722467,0.005577773100399916,false
MN0602,large_mf,partnership,2,50,71,2895,0.028169014084507043,0.017271157167530225,false
BK0104,condo_unit,individual,93,896,179,1607,0.5195530726256983,0.5575606720597387,false
MN0302,sfr_1_4,trust,4,9,13,37,0.3076923076923077,0.24324324324324326,false
MN0401,condo_unit,llc,10,326,62,1585,0.16129032258064516,0.2056782334384858,false
BX1102,other_res,trust,1,1,12,9,,,true
BK1303,sfr_1_4,corp,23,52,1121,2472,0.020517395182872437,0.021035598705501618,false
BK1503,mixed_use_res,partnership,1,0,289,1686,0.0034602076124567475,0.0,false
BK1503,condo_unit,corp,3,150,99,1365,0.030303030303030304,0.10989010989010989,false
BX1101,large_mf,corp,8,560,65,4534,0.12307692307692308,0.12351124834583149,false
MN1202,small_mf,llc,38,457,58,710,0.6551724137931034,0.643661971830986,false
BX0201,small_mf,llc,24,184,39,310,0.6153846153846154,0.5935483870967742,false
MN0302,sfr_1_4,corp,1,4,13,37,0.07692307692307693,0.10810810810810811,false
MN0203,mixed_use_res,hdfc,2,560,602,9155,0.0033222591362126247,0.06116876024030585,false
BX0501,sfr_1_4,corp,23,59,894,1910,0.025727069351230425,0.030890052356020943,false
MN1002,condo_unit,llc,13,92,78,1134,0.16666666666666666,0.08112874779541446,false
BX0502,other_res,llc,1,1,6,13,0.16666666666666666,0.07692307692307693,false
BK1201,small_mf,unknown,2,32,166,1202,0.012048192771084338,0.026622296173044926,false
QN0103,small_mf,corp,64,564,823,6403,0.07776427703523693,0.08808371076058098,false
BX0502,mixed_use_res,llc,70,2938,132,5832,0.5303030303030303,0.5037722908093278,false
