as_of,year,parcels,units,entity_parcels,entity_units,parcel_share,unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_unit_share,coverage_parcels
2000-12-31,2000,41984,51014,1890,4347,0.0450171493902439,0.08521190261496844,40076,43633,0.041344853665803406,0.08297160251283206
2001-12-31,2001,69812,83076,3045,6659,0.0436171431845528,0.08015552024652126,66661,72537,0.03931786536526187,0.13711862959022822
2002-12-31,2002,97976,116325,4334,10026,0.04423532293622928,0.08618955512572533,93553,102013,0.040014507954868495,0.19182281272567733
2003-12-31,2003,125470,148198,6183,13209,0.04927871204271937,0.08913075750010122,119921,130779,0.045282499483862086,0.24525737892047617
2004-12-31,2004,153617,181135,7894,17092,0.051387541743426836,0.0943605598034615,146863,160131,0.04718012127570552,0.30002368398574303
2005-12-31,2005,179653,211582,10078,21503,0.05609703149961314,0.10162962822924446,171961,187553,0.051841346179479934,0.3507501223025493
2006-12-31,2006,201953,237244,12012,25047,0.05947918575114012,0.10557485120803899,193442,210798,0.05506693611893851,0.3939695136629419
2007-12-31,2007,219755,258735,13837,29059,0.06296557529976565,0.11231182484008735,210564,229330,0.058718876727859415,0.42866072884554157
2008-12-31,2008,232789,273920,15335,31687,0.06587510578248973,0.1156797605140187,223070,242877,0.0615990810163169,0.4539365890401385
2009-12-31,2009,243527,286260,16706,34052,0.0686001962821371,0.11895479633899253,233401,254021,0.06473874207250582,0.47480373352798205
2010-12-31,2010,253033,297708,18126,36769,0.07163492508882241,0.12350692624988244,242518,263885,0.06830626977660724,0.49344419509392057
2011-12-31,2011,261870,308294,19313,38934,0.07375033413525796,0.1262885427546433,250966,273066,0.07059831689042209,0.5106849719286529
2012-12-31,2012,271514,320737,21279,43014,0.07837164934404856,0.13410987818680103,260144,283091,0.07545630203715413,0.5293545531491936
2013-12-31,2013,281130,333046,23362,47580,0.08310034503610429,0.14286314803360498,269274,293008,0.07994662261781248,0.5479911320945186
2014-12-31,2014,291043,345721,25897,52281,0.088979978903461,0.15122309608036538,278753,303265,0.08568743508152936,0.5672508716483278
2015-12-31,2015,301002,358382,28992,58259,0.09631829688839277,0.1625611777377212,288297,313577,0.09315734253468845,0.5866212658896248
2016-12-31,2016,311134,370725,32299,63372,0.10381057679327878,0.17094072425652437,298044,324127,0.10068275706744578,0.6063236241933856
2017-12-31,2017,320715,382339,35825,69058,0.11170353740860266,0.180619816445615,307232,334087,0.10889379113823645,0.624934966104722
2018-12-31,2018,329701,392790,38466,73041,0.11666934586185665,0.18595432673947912,315887,343476,0.11392353468655743,0.6423213412124648
2019-12-31,2019,337735,402247,40895,76881,0.1210860585962367,0.19112883377626186,323631,351917,0.11838586939534038,0.6578692954596634
2020-12-31,2020,343703,409352,41975,79039,0.12212578883512801,0.19308321444624676,329380,358156,0.11947587084957392,0.6694181504748445
2021-12-31,2021,349828,416946,43828,82497,0.1252844254890975,0.1978601545523881,335258,364519,0.12259443266331796,0.6812795564494211
2022-12-31,2022,358740,427258,47246,87468,0.13169983832301946,0.2047193967111207,343860,373828,0.12926533057983886,0.6985533355593692
2023-12-31,2023,364602,433714,49213,89988,0.13497731773276064,0.20748235012012525,349516,379906,0.13259069348733635,0.7099274726469378
2024-12-31,2024,370218,439937,50947,92372,0.13761351419974177,0.20996642701114024,354964,385763,0.13520996051980103,0.7208279300196461
2025-12-31,2025,376422,447047,53806,96081,0.14294063577580482,0.21492371048234302,361025,392244,0.14058851123280408,0.73288540833521
