geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Philadelphia,condo_unit,individual,28092,28092,32204,32204,0.8723139982610856,0.8723139982610856
Philadelphia,sfr_1_4,coop_corp,1,1,459261,496857,2.1774111017482435e-6,2.0126515275018766e-6
Philadelphia,mixed_use_res,partnership,190,190,13992,13992,0.013579188107489995,0.013579188107489995
Philadelphia,small_mf,corp,314,1570,5211,26055,0.060257148340049894,0.060257148340049894
Philadelphia,mixed_use_res,trust,247,247,13992,13992,0.01765294453973699,0.01765294453973699
Philadelphia,sfr_1_4,corp,4048,4751,459261,496857,0.00881416013987689,0.009562107407161416
Philadelphia,condo_unit,unknown,539,539,32204,32204,0.016737051297975408,0.016737051297975408
Philadelphia,condo_unit,lender_reo,38,38,32204,32204,0.0011799776425288784,0.0011799776425288784
Philadelphia,sfr_1_4,unknown,4285,5129,459261,496857,0.009330206570991224,0.010322889684557126
Philadelphia,small_mf,trust,77,385,5211,26055,0.014776434465553637,0.014776434465553637
Philadelphia,large_mf,coop_corp,1,100,668,50630,0.0014970059880239522,0.0019751135690302193
Philadelphia,condo_unit,corp,160,160,32204,32204,0.004968326915911067,0.004968326915911067
Philadelphia,large_mf,unknown,88,6350,668,50630,0.1317365269461078,0.12541971163341892
Philadelphia,small_mf,partnership,527,2635,5211,26055,0.10113222030320476,0.10113222030320476
Philadelphia,small_mf,llc,2157,10785,5211,26055,0.4139320667818077,0.4139320667818077
Philadelphia,small_mf,unknown,531,2655,5211,26055,0.10189982728842832,0.10189982728842832
Philadelphia,large_mf,partnership,168,11949,668,50630,0.25149700598802394,0.2360063203634209
Philadelphia,mixed_use_res,coop_corp,2,2,13992,13992,0.0001429388221841052,0.0001429388221841052
Philadelphia,large_mf,lender_reo,1,51,668,50630,0.0014970059880239522,0.001007307920205412
Philadelphia,mixed_use_res,corp,694,694,13992,13992,0.0495997712978845,0.0495997712978845
Philadelphia,small_mf,individual,1603,8015,5211,26055,0.3076184993283439,0.3076184993283439
Philadelphia,large_mf,llc,163,11841,668,50630,0.2440119760479042,0.23387319770886825
Philadelphia,mixed_use_res,unknown,406,406,13992,13992,0.029016580903373355,0.029016580903373355
Philadelphia,condo_unit,partnership,796,796,32204,32204,0.02471742640665756,0.02471742640665756
Philadelphia,sfr_1_4,partnership,1777,2374,459261,496857,0.0038692595278066286,0.004778034726289455
Philadelphia,condo_unit,llc,1759,1759,32204,32204,0.054620544031797294,0.054620544031797294
Philadelphia,sfr_1_4,estate,60,66,459261,496857,0.0001306446661048946,0.00013283500081512386
Philadelphia,mixed_use_res,llc,3193,3193,13992,13992,0.22820182961692395,0.22820182961692395
Philadelphia,small_mf,lender_reo,2,10,5211,26055,0.00038380349261178274,0.00038380349261178274
Philadelphia,mixed_use_res,lender_reo,11,11,13992,13992,0.0007861635220125787,0.0007861635220125787
Philadelphia,sfr_1_4,trust,5681,6336,459261,496857,0.01236987246903177,0.012752160078251891
Philadelphia,condo_unit,trust,818,818,32204,32204,0.02540057135759533,0.02540057135759533
Philadelphia,sfr_1_4,individual,405646,433499,459261,496857,0.8832581037797679,0.872482424520536
Philadelphia,large_mf,corp,107,9720,668,50630,0.1601796407185629,0.1919810389097373
Philadelphia,sfr_1_4,llc,37000,43873,459261,496857,0.08056421076468501,0.08830106046608983
Philadelphia,condo_unit,estate,2,2,32204,32204,0.00006210408644888833,0.00006210408644888833
Philadelphia,sfr_1_4,lender_reo,763,828,459261,496857,0.0016613646706339098,0.001666475464771554
Philadelphia,mixed_use_res,individual,9247,9247,13992,13992,0.6608776443682104,0.6608776443682104
Philadelphia,large_mf,individual,135,10168,668,50630,0.20209580838323354,0.2008295476989927
Philadelphia,large_mf,trust,5,451,668,50630,0.0074850299401197605,0.008907762196326288
Philadelphia,mixed_use_res,estate,2,2,13992,13992,0.0001429388221841052,0.0001429388221841052
