geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
19126,sfr_1_4,trust,57,64,4654,5023,0.012247529007305543,0.012741389607804101,false
19116,mixed_use_res,individual,6,6,9,9,,,true
19131,large_mf,corp,2,200,28,2408,0.07142857142857142,0.08305647840531562,false
"",condo_unit,trust,1,1,5,5,,,true
19154,condo_unit,individual,408,408,444,444,0.918918918918919,0.918918918918919,false
19153,sfr_1_4,trust,35,37,3731,3932,0.009380863039399626,0.009409969481180062,false
19151,small_mf,partnership,3,15,45,225,0.06666666666666667,0.06666666666666667,false
19128,small_mf,corp,4,20,102,510,0.0392156862745098,0.0392156862745098,false
19106,large_mf,partnership,4,302,15,1108,0.26666666666666666,0.27256317689530685,false
19142,sfr_1_4,llc,1443,1546,9783,10243,0.14750076663600123,0.15093234403983208,false
19119,small_mf,unknown,6,30,90,450,0.06666666666666667,0.06666666666666667,false
19119,large_mf,corp,1,51,13,810,0.07692307692307693,0.06296296296296296,false
19138,sfr_1_4,trust,139,148,11730,12272,0.011849957374254049,0.012059973924380704,false
19151,sfr_1_4,corp,61,71,10451,11392,0.005836762032341403,0.006232443820224719,false
19119,large_mf,partnership,4,253,13,810,0.3076923076923077,0.31234567901234567,false
19146,mixed_use_res,trust,9,9,467,467,0.019271948608137045,0.019271948608137045,false
19118,small_mf,individual,7,35,23,115,0.30434782608695654,0.30434782608695654,false
19135,small_mf,llc,23,115,46,230,0.5,0.5,false
19102,large_mf,llc,8,653,16,1306,0.5,0.5,false
19118,mixed_use_res,trust,2,2,102,102,0.0196078431372549,0.0196078431372549,false
19115,large_mf,individual,4,302,24,2008,0.16666666666666666,0.150398406374502,false
19115,condo_unit,trust,29,29,2005,2005,0.014463840399002495,0.014463840399002495,false
19107,small_mf,unknown,39,195,289,1445,0.13494809688581316,0.13494809688581316,false
19139,sfr_1_4,llc,2154,2607,13362,15114,0.16120341266277505,0.17248908296943233,false
19104,sfr_1_4,unknown,211,301,7190,9085,0.029346314325452018,0.033131535498073746,false
19131,sfr_1_4,estate,3,4,12319,13722,0.0002435262602483968,0.0002915026963999417,false
19123,sfr_1_4,partnership,14,18,3107,3442,0.004505954296749276,0.005229517722254503,false
19103,condo_unit,partnership,101,101,4529,4529,0.022300728637668358,0.022300728637668358,false
19107,sfr_1_4,corp,4,5,657,775,0.0060882800608828,0.0064516129032258064,false
19135,sfr_1_4,estate,2,2,10953,11788,0.00018259837487446363,0.00016966406515100103,false
19130,mixed_use_res,corp,12,12,265,265,0.045283018867924525,0.045283018867924525,false
19122,sfr_1_4,corp,72,90,4650,5040,0.015483870967741935,0.017857142857142856,false
19121,large_mf,llc,5,304,16,1012,0.3125,0.30039525691699603,false
19126,sfr_1_4,estate,2,2,4654,5023,0.0004297378599054577,0.00039816842524387816,false
19118,sfr_1_4,individual,2166,2239,2402,2508,0.9017485428809325,0.8927432216905901,false
19121,small_mf,individual,60,300,292,1460,0.2054794520547945,0.2054794520547945,false
19133,mixed_use_res,partnership,1,1,490,490,0.0020408163265306124,0.0020408163265306124,false
19131,small_mf,corp,3,15,48,240,0.0625,0.0625,false
19144,mixed_use_res,individual,188,188,312,312,0.6025641025641025,0.6025641025641025,false
19147,mixed_use_res,unknown,35,35,966,966,0.036231884057971016,0.036231884057971016,false
19151,mixed_use_res,unknown,7,7,286,286,0.024475524475524476,0.024475524475524476,false
19107,condo_unit,corp,7,7,2512,2512,0.002786624203821656,0.002786624203821656,false
19125,sfr_1_4,individual,8984,9246,9884,10239,0.9089437474706596,0.9030178728391445,false
19104,sfr_1_4,trust,112,138,7190,9085,0.015577190542420028,0.015189873417721518,false
19151,mixed_use_res,llc,47,47,286,286,0.16433566433566432,0.16433566433566432,false
"",small_mf,partnership,1,5,1,5,,,true
19148,small_mf,corp,2,10,44,220,0.045454545454545456,0.045454545454545456,false
19152,sfr_1_4,trust,79,96,9564,10391,0.008260142199916352,0.009238764315272832,false
19128,condo_unit,corp,8,8,738,738,0.01084010840108401,0.01084010840108401,false
19135,sfr_1_4,unknown,102,118,10953,11788,0.009312517118597645,0.01001017984390906,false
19130,mixed_use_res,llc,90,90,265,265,0.33962264150943394,0.33962264150943394,false
19134,sfr_1_4,corp,278,295,20821,21515,0.013351904327361799,0.01371136416453637,false
19122,small_mf,corp,3,15,232,1160,0.01293103448275862,0.01293103448275862,false
19129,mixed_use_res,corp,3,3,52,52,0.057692307692307696,0.057692307692307696,false
19111,sfr_1_4,individual,16907,18695,17892,20095,0.9449474625530964,0.930330928091565,false
19102,large_mf,unknown,2,151,16,1306,0.125,0.11562021439509954,false
19128,sfr_1_4,unknown,41,45,11960,12737,0.00342809364548495,0.0035330140535447907,false
19115,condo_unit,corp,13,13,2005,2005,0.006483790523690773,0.006483790523690773,false
19114,condo_unit,trust,14,14,1584,1584,0.008838383838383838,0.008838383838383838,false
19123,condo_unit,llc,246,246,1770,1770,0.13898305084745763,0.13898305084745763,false
19104,large_mf,individual,7,504,35,2618,0.2,0.1925133689839572,false
19143,condo_unit,individual,172,172,230,230,0.7478260869565218,0.7478260869565218,false
19136,sfr_1_4,trust,78,86,10243,10999,0.007614956555696573,0.007818892626602418,false
19151,condo_unit,individual,18,18,41,41,0.43902439024390244,0.43902439024390244,false
19112,sfr_1_4,llc,1,1,1,1,,,true
19127,mixed_use_res,corp,5,5,128,128,0.0390625,0.0390625,false
19121,small_mf,llc,157,785,292,1460,0.5376712328767124,0.5376712328767124,false
19137,sfr_1_4,llc,152,164,3257,3338,0.04666871354006755,0.04913121629718394,false
19125,sfr_1_4,partnership,15,15,9884,10239,0.001517604208822339,0.001464986815118664,false
19147,large_mf,individual,2,102,5,353,0.4,0.28895184135977336,false
19107,sfr_1_4,trust,20,24,657,775,0.030441400304414,0.03096774193548387,false
19141,sfr_1_4,trust,114,136,8894,9926,0.012817629862828873,0.013701390288132179,false
19154,sfr_1_4,unknown,38,40,10758,11186,0.0035322550659973974,0.0035758984444841766,false
