year,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,7196,9904,162,341,0.022512506948304613,0.03443053311793215
2001,83327,107787,1444,3959,0.017329317028094135,0.0367298468275395
2002,90354,117023,1862,4591,0.02060783141864223,0.03923160404364954
2003,94616,121201,2588,5865,0.027352667624926018,0.04839068984579335
2004,101646,131088,3398,7698,0.033429746374672886,0.05872391065543757
2005,104031,133239,3722,8166,0.03577779700281647,0.06128836151577241
2006,85655,108848,3475,8378,0.04056972739478139,0.0769697192415111
2007,64978,80374,1096,2312,0.016867247376034965,0.028765521188444023
2008,45194,56788,2921,6680,0.06463247333716865,0.11763048531379869
2009,47291,59195,3627,7339,0.07669535429574338,0.1239800658839429
2010,46661,60146,4239,8803,0.09084674567626069,0.14636052272802846
2011,46247,59256,4244,9059,0.09176811468852034,0.1528790333468341
2012,59071,74255,6352,12880,0.10753161449780772,0.17345633290687495
2013,73807,92974,10026,19252,0.1358407739103337,0.20706864284638715
2014,69493,89235,7956,16616,0.11448635114328062,0.18620496441979045
2015,65397,83794,815,1340,0.012462345367524504,0.01599159844380266
2016,72123,89777,7665,14586,0.1062767771723306,0.1624692293126302
2017,76550,98593,6984,15157,0.09123448726322665,0.15373302364265212
2018,77428,99110,7209,15766,0.09310585317972826,0.1590757743920896
2019,74247,94725,6617,14988,0.08912144598434954,0.15822644497228822
2020,74498,91753,5414,12391,0.07267309189508443,0.13504735539982343
2021,82233,100867,7315,15010,0.08895455595685431,0.14880981887039368
2022,76991,95584,8202,16956,0.10653193230377576,0.17739370605959157
2023,61101,74520,7095,12897,0.1161192124515147,0.17306763285024154
2024,59360,72401,6840,12449,0.11522911051212938,0.17194513887929724
2025,60318,73683,7513,13647,0.1245565171258994,0.18521232848825372
