year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,Barrington,12,12,1,1,0.08333333333333333,0.08333333333333333
2000,Berwyn,69,109,1,7,0.014492753623188406,0.06422018348623854
2000,Bloom,130,137,1,1,0.007692307692307693,0.0072992700729927005
2000,Bremen,184,200,4,4,0.021739130434782608,0.02
2000,Calumet,20,30,0,0,0.0,0.0
2000,Cicero,111,182,1,1,0.009009009009009009,0.005494505494505495
2000,Elk Grove,95,100,1,1,0.010526315789473684,0.01
2000,Evanston,68,80,0,0,0.0,0.0
2000,Hanover,170,185,3,9,0.01764705882352941,0.04864864864864865
2000,Hyde Park,458,745,17,43,0.03711790393013101,0.05771812080536913
2000,Jefferson,755,1169,4,10,0.005298013245033113,0.00855431993156544
2000,Lake,1089,1586,46,75,0.04224058769513315,0.04728877679697352
2000,Lake View,474,595,11,18,0.023206751054852322,0.030252100840336135
2000,Lemont,23,30,1,8,0.043478260869565216,0.26666666666666666
2000,Leyden,113,139,0,0,0.0,0.0
2000,Lyons,120,157,3,17,0.025,0.10828025477707007
2000,Maine,180,205,1,1,0.005555555555555556,0.004878048780487805
2000,New Trier,75,78,5,5,0.06666666666666667,0.0641025641025641
2000,Niles,109,131,1,7,0.009174311926605505,0.05343511450381679
2000,North Chicago,317,348,10,27,0.031545741324921134,0.07758620689655173
2000,Northfield,119,131,5,5,0.04201680672268908,0.03816793893129771
2000,Norwood Park,38,42,0,0,0.0,0.0
2000,Oak Park,55,66,1,1,0.01818181818181818,0.015151515151515152
2000,Orland,106,108,1,1,0.009433962264150943,0.009259259259259259
2000,Palatine,151,189,1,1,0.006622516556291391,0.005291005291005291
2000,Palos,65,68,0,0,0.0,0.0
2000,Proviso,196,228,2,2,0.01020408163265306,0.008771929824561403
2000,Rich,121,122,1,1,0.008264462809917356,0.00819672131147541
2000,River Forest,18,18,1,1,0.05555555555555555,0.05555555555555555
2000,Riverside,20,25,0,0,0.0,0.0
2000,Rogers Park,99,156,4,8,0.04040404040404041,0.05128205128205128
2000,Schaumburg,177,187,0,0,0.0,0.0
2000,South Chicago,140,239,3,10,0.02142857142857143,0.04184100418410042
2000,Stickney,44,51,0,0,0.0,0.0
2000,Thornton,317,426,11,14,0.03470031545741325,0.03286384976525822
2000,West Chicago,565,1158,19,60,0.033628318584070796,0.05181347150259067
2000,Wheeling,191,203,1,1,0.005235602094240838,0.0049261083743842365
2000,Worth,202,269,1,1,0.0049504950495049506,0.0037174721189591076
2001,Barrington,300,312,11,11,0.03666666666666667,0.035256410256410256
2001,Berwyn,1061,1618,5,33,0.00471253534401508,0.0203955500618047
2001,Bloom,1471,1764,23,127,0.01563562202583277,0.07199546485260772
2001,Bremen,2284,2691,26,116,0.01138353765323993,0.043106651802303976
2001,Calumet,257,534,6,200,0.023346303501945526,0.37453183520599254
2001,Cicero,1074,1686,7,23,0.006517690875232775,0.013641755634638196
2001,Elk Grove,1557,1722,4,27,0.002569043031470777,0.0156794425087108
2001,Evanston,1251,1485,16,44,0.012789768185451638,0.02962962962962963
2001,Hanover,2373,2422,9,9,0.0037926675094816687,0.0037159372419488025
2001,Hyde Park,3562,5992,168,452,0.047164514317798986,0.07543391188251002
2001,Jefferson,7463,11193,67,248,0.008977622939836527,0.022156705083534352
2001,Lake,8495,11903,320,580,0.03766921718658034,0.04872721162732084
2001,Lake View,5493,6790,122,344,0.022210085563444382,0.05066273932253314
2001,Lemont,407,446,13,29,0.03194103194103194,0.06502242152466367
2001,Leyden,1547,1871,2,2,0.001292824822236587,0.0010689470871191875
2001,Lyons,2002,2426,41,55,0.02047952047952048,0.02267106347897774
2001,Maine,2530,2818,15,24,0.005928853754940711,0.008516678495386799
2001,New Trier,1253,1288,48,53,0.03830806065442937,0.04114906832298137
2001,Niles,1639,2021,8,19,0.004881025015253203,0.009401286491835725
2001,North Chicago,3180,3502,58,153,0.018238993710691823,0.043689320388349516
2001,Northfield,1623,1714,31,33,0.019100431300061615,0.019253208868144692
2001,Norwood Park,405,460,4,4,0.009876543209876543,0.008695652173913044
2001,Oak Park,961,1150,10,37,0.01040582726326743,0.03217391304347826
2001,Orland,2021,2149,18,20,0.008906481939633844,0.009306654257794323
2001,Palatine,2500,2782,13,26,0.0052,0.009345794392523364
2001,Palos,1056,1208,10,23,0.00946969696969697,0.01903973509933775
2001,Proviso,2590,3282,20,55,0.007722007722007722,0.01675807434491164
2001,Rich,1693,1946,23,174,0.013585351447135264,0.08941418293936279
2001,River Forest,243,254,2,2,0.00823045267489712,0.007874015748031496
