year,building_type,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,condo_unit,1659,1691,10,10,0.006027727546714889,0.0059136605558840925
2000,coop_building,4,5,0,0,0.0,0.0
2000,mixed_use_res,101,365,8,31,0.07920792079207921,0.08493150684931507
2000,sfr_1_4,5274,6795,130,192,0.02464922260144103,0.0282560706401766
2000,small_mf,158,1048,14,108,0.08860759493670886,0.10305343511450382
2001,condo_unit,22886,23306,113,144,0.004937516385563227,0.006178666437827169
2001,coop_building,45,62,1,2,0.022222222222222223,0.03225806451612903
2001,mixed_use_res,733,2716,62,262,0.08458390177353342,0.09646539027982327
2001,other_res,4,4,0,0,0.0,0.0
2001,sfr_1_4,58268,71205,1080,1705,0.018535044964646117,0.02394494768625799
2001,small_mf,1391,10494,188,1846,0.13515456506110712,0.17591004383457215
2002,condo_unit,24499,24820,155,170,0.006326788848524429,0.00684931506849315
2002,coop_building,34,44,0,0,0.0,0.0
2002,mixed_use_res,753,2790,61,254,0.08100929614873838,0.0910394265232975
2002,other_res,4,4,1,1,0.25,0.25
2002,sfr_1_4,63524,77694,1406,2012,0.02213336691644103,0.025896465621540916
2002,small_mf,1540,11671,239,2154,0.1551948051948052,0.1845600205637906
2003,condo_unit,26188,26586,217,285,0.008286237971590041,0.010719927781539155
2003,coop_building,33,40,0,0,0.0,0.0
2003,mixed_use_res,729,2744,71,284,0.09739368998628258,0.10349854227405247
2003,other_res,2,2,0,0,0.0,0.0
2003,sfr_1_4,66244,80955,2001,2767,0.030206509268763962,0.03417948242850966
2003,small_mf,1420,10874,299,2529,0.21056338028169014,0.2325731101710502
2004,condo_unit,27757,28109,279,310,0.010051518535864827,0.011028496211177914
2004,coop_building,39,54,0,0,0.0,0.0
2004,mixed_use_res,787,2779,109,388,0.13850063532401524,0.13961856783015472
2004,other_res,7,7,0,0,0.0,0.0
2004,sfr_1_4,71508,88520,2589,3478,0.03620573921798959,0.03929055580659738
2004,small_mf,1548,11619,421,3522,0.2719638242894057,0.30312419313193906
2005,condo_unit,29363,29600,341,378,0.011613254776419304,0.01277027027027027
2005,coop_building,41,55,1,1,0.024390243902439025,0.01818181818181818
2005,mixed_use_res,783,2857,150,577,0.19157088122605365,0.20196009800490025
2005,other_res,3,3,1,1,0.3333333333333333,0.3333333333333333
2005,sfr_1_4,72379,90036,2777,3710,0.038367482280772046,0.04120573992625172
2005,small_mf,1462,10688,452,3499,0.3091655266757866,0.32737649700598803
2006,condo_unit,25018,25175,353,380,0.01410984091454153,0.01509433962264151
2006,coop_building,16,23,0,0,0.0,0.0
2006,mixed_use_res,571,2045,153,563,0.2679509632224168,0.27530562347188264
2006,other_res,2,2,0,0,0.0,0.0
2006,sfr_1_4,58907,72835,2498,3479,0.04240582613271767,0.04776549735703989
2006,small_mf,1141,8768,471,3956,0.4127957931638913,0.4511861313868613
2007,condo_unit,22893,23075,148,153,0.006464858253614642,0.006630552546045504
2007,coop_building,37,52,0,0,0.0,0.0
2007,mixed_use_res,465,1667,52,199,0.11182795698924732,0.11937612477504499
2007,sfr_1_4,40663,48419,781,1054,0.019206649779898187,0.021768314091575622
2007,small_mf,920,7161,115,906,0.125,0.1265186426476749
2008,condo_unit,15056,15622,376,514,0.02497343251859724,0.03290231724491102
2008,coop_building,53,74,1,3,0.018867924528301886,0.04054054054054054
2008,mixed_use_res,274,1014,96,369,0.35036496350364965,0.363905325443787
2008,other_res,2,2,0,0,0.0,0.0
2008,sfr_1_4,29216,35289,2130,3166,0.0729052573932092,0.08971634220295276
2008,small_mf,593,4787,318,2628,0.5362563237774031,0.5489868393565908
2009,condo_unit,14458,14682,424,562,0.02932632452621386,0.03827816373791037
2009,coop_building,49,66,9,11,0.1836734693877551,0.16666666666666666
2009,mixed_use_res,189,676,72,260,0.38095238095238093,0.38461538461538464
