year,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,6937,8491,140,202,0.020181634712411706,0.023789895183135085
2001,81159,94438,1193,1801,0.014699540408334258,0.01907071306042059
2002,88034,102479,1563,2181,0.017754503941658905,0.021282409078933244
2003,92438,107528,2218,3038,0.023994461152339948,0.028253106167695857
2004,99277,116598,2872,3774,0.028929157810973338,0.03236762208614213
2005,101747,119601,3118,4088,0.03064463817115001,0.034180316218091825
2006,83931,97982,2855,3836,0.03401603698275965,0.03915004796799412
2007,63559,71456,929,1207,0.014616340722792996,0.016891513658755037
2008,44279,50920,2511,3689,0.056708597755143524,0.07244697564807541
2009,46607,54839,3270,4764,0.070161134593516,0.0868724812633345
2010,45833,54875,3835,5969,0.0836733358060786,0.1087744874715262
2011,45230,52708,3704,5199,0.08189254919301349,0.0986377779464218
2012,57790,65971,5602,7320,0.09693718636442292,0.11095784511376211
2013,72259,82535,9042,11604,0.1251332014005176,0.14059489913370085
2014,67842,77924,6975,9160,0.10281241708676041,0.11755043375596735
2015,63769,72439,744,921,0.011667110978688704,0.01271414569499855
2016,70507,80617,6636,8412,0.09411831449359638,0.10434523735688503
2017,74732,85951,6084,8313,0.08141090831236954,0.09671789740666194
2018,75572,86570,6210,8448,0.0821732916953369,0.09758576874205845
2019,72500,83032,5643,7771,0.07783448275862069,0.09359042296945756
2020,73050,82449,4510,6043,0.061738535249828884,0.07329379373915997
2021,80532,91638,6125,7970,0.07605672279342374,0.08697265326611231
2022,75069,85078,6795,8611,0.0905167246133557,0.1012130045370131
2023,59806,67703,6202,7677,0.10370196970203659,0.1133923164409258
2024,58114,65970,5988,7492,0.10303885466496886,0.11356677277550402
2025,59033,66875,6595,8357,0.11171717513932886,0.12496448598130841
