as_of,year,parcels,units,entity_parcels,entity_units,parcel_share,unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_unit_share,coverage_parcels
2000-12-31,2000,7594,10338,205,408,0.026994996049512773,0.03946604759141033,7286,8729,0.025547027150876388,0.005142176978557965
2001-12-31,2001,89654,113781,1610,3870,0.017957927142124165,0.03401270862446278,86974,99209,0.016107409610015222,0.06056236870589108
2002-12-31,2002,172204,217914,2854,7166,0.016573366472323523,0.03288453243022477,167158,190180,0.014565148806393943,0.11629547454706693
2003-12-31,2003,250696,315670,4355,11113,0.017371637361585347,0.035204485697088735,243626,276772,0.014943708178572978,0.16916986718009758
2004-12-31,2004,326142,409845,6047,15609,0.01854100361192364,0.038085129744171574,317166,360594,0.015441188705302917,0.2200386421955241
2005-12-31,2005,394763,494915,7645,20019,0.019366050009752687,0.0404493700938545,384145,436790,0.016062638796675747,0.2663317226798666
2006-12-31,2006,445841,558058,9009,24672,0.020206755323086033,0.04421045841113289,433974,493038,0.016396302110587825,0.30078532001200403
2007-12-31,2007,483472,603540,8560,24295,0.017705265248039184,0.04025416708088942,470591,532958,0.01413995099050957,0.32616777996203217
2008-12-31,2008,507634,632339,10550,28836,0.02078268989074806,0.04560212164677491,494140,558442,0.017582846562400393,0.3424696611558265
2009-12-31,2009,530604,658942,13147,33982,0.02477742346457999,0.051570547938968835,516721,582947,0.0223639541845142,0.3579663280135686
2010-12-31,2010,553857,686653,16410,39742,0.029628586440182212,0.05787785096693672,539483,607919,0.027656645046461783,0.3736693563343191
2011-12-31,2011,577907,715816,19053,45182,0.03296897251633914,0.06311957262760262,562933,633780,0.030854555208431948,0.38989907845444705
2012-12-31,2012,608341,752897,23218,53661,0.03816609434511236,0.07127269732778853,592532,666210,0.03558787769622191,0.4104374390947071
2013-12-31,2013,646219,799277,30364,66796,0.04698716688924343,0.08357052686365303,629374,706862,0.043871363858857884,0.4359790536371208
2014-12-31,2014,681172,842996,34569,76491,0.0507492968002208,0.09073708534797319,663222,744379,0.047250123928805086,0.4595507929068305
2015-12-31,2015,715439,887565,31369,70879,0.04384580656072705,0.07985781323058029,696183,781402,0.040541232297844135,0.48265518415737424
2016-12-31,2016,752871,935161,37194,82847,0.04940288575333623,0.08859116237738743,732516,822964,0.046420013512134185,0.5079135574760509
2017-12-31,2017,785876,977362,39454,89370,0.05020384895326998,0.09144001915359917,764368,858712,0.04711707766981246,0.5301682250553837
2018-12-31,2018,824523,1027798,42936,98694,0.052073744455885404,0.09602470524363736,801626,901386,0.048947953484966486,0.5562378821649071
2019-12-31,2019,860965,1073910,45411,106137,0.0527443043561585,0.09883230438304885,836898,940997,0.049362537818930345,0.5808225460014095
2020-12-31,2020,890898,1110572,45852,110574,0.051467171326010384,0.09956490889379527,866066,973374,0.04788704033598596,0.601016970869989
2021-12-31,2021,917178,1142940,47700,116528,0.05200735298927798,0.1019546082908989,891727,1002385,0.047970590142510115,0.6187397788695304
2022-12-31,2022,942611,1174507,50003,123665,0.05304733341749672,0.10529098592004986,916489,1030297,0.04861219628903122,0.6359190334730432
2023-12-31,2023,963312,1199526,51525,128077,0.053487343664357964,0.10677300867175868,936746,1052931,0.048864550478616355,0.6499131730772473
2024-12-31,2024,982774,1223003,52836,131816,0.05376210603862129,0.10778060233703433,955810,1074342,0.049018841300070184,0.6630575890102405
2025-12-31,2025,1001422,1245629,54427,136011,0.05434971470568851,0.10919061775215574,974066,1094863,0.04958519924410634,0.6756624978504014
