nta,nta_name,borough,parcels,units,entity_parcels,entity_units,entity_parcel_share,entity_unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_parcels,sfr_condo_entity_units,sfr_condo_entity_unit_share,suppressed
Barrington 10011,Barrington 10011,,177,177,3,3,0.01694915254237288,0.01694915254237288,177,177,3,3,0.01694915254237288,false
Barrington 10012,Barrington 10012,,1421,1571,55,75,0.03870513722730472,0.047740292807129214,1396,1445,49,52,0.035986159169550176,false
Barrington 10014,Barrington 10014,,126,126,0,0,0.0,0.0,126,126,0,0,0.0,false
Barrington 10021,Barrington 10021,,799,799,14,14,0.017521902377972465,0.017521902377972465,799,799,14,14,0.017521902377972465,false
Barrington 10022,Barrington 10022,,118,118,1,1,0.00847457627118644,0.00847457627118644,118,118,1,1,0.00847457627118644,false
Barrington 10023,Barrington 10023,,735,735,3,3,0.004081632653061225,0.004081632653061225,735,735,3,3,0.004081632653061225,false
Barrington 10024,Barrington 10024,,786,786,37,37,0.047073791348600506,0.047073791348600506,786,786,37,37,0.047073791348600506,false
Barrington 10025,Barrington 10025,,44,44,0,0,0.0,0.0,44,44,0,0,0.0,false
Barrington 10030,Barrington 10030,,130,130,0,0,0.0,0.0,130,130,0,0,0.0,false
Barrington 10031,Barrington 10031,,950,950,20,20,0.021052631578947368,0.021052631578947368,950,950,20,20,0.021052631578947368,false
Barrington 10040,Barrington 10040,,737,737,3,3,0.004070556309362279,0.004070556309362279,737,737,3,3,0.004070556309362279,false
Berwyn 11010,Berwyn 11010,,2542,4733,96,351,0.03776553894571204,0.07416015212338897,2365,3754,52,83,0.022109749600426214,false
Berwyn 11020,Berwyn 11020,,2727,3731,64,129,0.02346901356802347,0.034575180916644334,2665,3487,50,62,0.017780326928591914,false
Berwyn 11030,Berwyn 11030,,1622,1960,31,84,0.01911220715166461,0.04285714285714286,1577,1734,22,29,0.016724336793540944,false
Berwyn 11040,Berwyn 11040,,1666,2206,29,101,0.017406962785114045,0.04578422484134179,1579,1732,16,20,0.011547344110854504,false
Berwyn 11050,Berwyn 11050,,2122,2805,41,110,0.01932139491046183,0.0392156862745098,2055,2519,31,43,0.017070265978562923,false
Berwyn 11060,Berwyn 11060,,756,1365,32,160,0.042328042328042326,0.11721611721611722,662,808,8,11,0.013613861386138614,false
Berwyn 11070,Berwyn 11070,,2339,2756,29,68,0.012398460880718255,0.02467343976777939,2311,2626,21,22,0.008377760853008377,false
Bloom 12010,Bloom 12010,,1645,1683,36,47,0.02188449848024316,0.027926322043969103,1634,1646,33,33,0.020048602673147023,false
Bloom 12021,Bloom 12021,,921,933,49,49,0.053203040173724216,0.05251875669882101,919,919,49,49,0.05331882480957562,false
Bloom 12022,Bloom 12022,,1824,1824,27,27,0.014802631578947368,0.014802631578947368,1824,1824,27,27,0.014802631578947368,false
Bloom 12031,Bloom 12031,,284,300,25,25,0.0880281690140845,0.08333333333333333,280,284,25,25,0.0880281690140845,false
Bloom 12032,Bloom 12032,,723,741,42,50,0.058091286307053944,0.06747638326585695,721,731,40,40,0.05471956224350205,false
Bloom 12033,Bloom 12033,,933,1017,10,12,0.010718113612004287,0.011799410029498525,918,922,10,12,0.013015184381778741,false
Bloom 12041,Bloom 12041,,208,217,4,10,0.019230769230769232,0.04608294930875576,206,206,3,3,0.014563106796116505,false
Bloom 12042,Bloom 12042,,685,690,23,23,0.033576642335766425,0.03333333333333333,685,690,23,23,0.03333333333333333,false
Bloom 12043,Bloom 12043,,383,385,6,6,0.015665796344647518,0.015584415584415584,383,385,6,6,0.015584415584415584,false
Bloom 12044,Bloom 12044,,607,620,8,8,0.013179571663920923,0.012903225806451613,605,608,8,8,0.013157894736842105,false
Bloom 12046,Bloom 12046,,549,550,5,5,0.009107468123861567,0.00909090909090909,549,550,5,5,0.00909090909090909,false
Bloom 12051,Bloom 12051,,467,467,10,10,0.021413276231263382,0.021413276231263382,467,467,10,10,0.021413276231263382,false
Bloom 12052,Bloom 12052,,229,229,1,1,0.004366812227074236,0.004366812227074236,229,229,1,1,0.004366812227074236,false
Bloom 12053,Bloom 12053,,212,212,1,1,0.0047169811320754715,0.0047169811320754715,212,212,1,1,0.0047169811320754715,false
Bloom 12054,Bloom 12054,,143,143,0,0,0.0,0.0,143,143,0,0,0.0,false
Bloom 12061,Bloom 12061,,2100,2141,26,26,0.012380952380952381,0.012143858010275572,2091,2093,26,26,0.012422360248447204,false
Bloom 12063,Bloom 12063,,169,173,2,2,0.011834319526627219,0.011560693641618497,169,173,2,2,0.011560693641618497,false
Bloom 12064,Bloom 12064,,132,132,0,0,0.0,0.0,132,132,0,0,0.0,false
Bloom 12065,Bloom 12065,,166,166,4,4,0.024096385542168676,0.024096385542168676,166,166,4,4,0.024096385542168676,false
Bloom 12071,Bloom 12071,,900,909,97,97,0.10777777777777778,0.10671067106710672,899,905,97,97,0.10718232044198896,false
Bloom 12072,Bloom 12072,,845,1014,39,45,0.046153846153846156,0.04437869822485207,840,990,39,45,0.045454545454545456,false
Bloom 12073,Bloom 12073,,630,630,6,6,0.009523809523809525,0.009523809523809525,630,630,6,6,0.009523809523809525,false
Bloom 12081,Bloom 12081,,166,172,2,8,0.012048192771084338,0.046511627906976744,165,165,1,1,0.006060606060606061,false
Bloom 12082,Bloom 12082,,390,393,6,6,0.015384615384615385,0.015267175572519083,390,393,6,6,0.015267175572519083,false
Bloom 12084,Bloom 12084,,699,852,35,81,0.05007153075822604,0.09507042253521127,688,785,29,39,0.049681528662420385,false
Bloom 12085,Bloom 12085,,740,818,18,30,0.024324324324324326,0.03667481662591687,733,787,16,18,0.022871664548919948,false
Bloom 12086,Bloom 12086,,318,338,5,8,0.015723270440251572,0.023668639053254437,318,338,5,8,0.023668639053254437,false
Bloom 12087,Bloom 12087,,421,421,2,2,0.004750593824228029,0.004750593824228029,421,421,2,2,0.004750593824228029,false
Bloom 12088,Bloom 12088,,145,145,2,2,0.013793103448275862,0.013793103448275862,145,145,2,2,0.013793103448275862,false
Bloom 12091,Bloom 12091,,437,592,19,69,0.043478260869565216,0.11655405405405406,423,519,11,13,0.025048169556840076,false
Bloom 12093,Bloom 12093,,183,186,3,3,0.01639344262295082,0.016129032258064516,183,186,3,3,0.016129032258064516,false
