geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Cicero,sfr_1_4,trust,30,51,13284,19046,0.002258355916892502,0.002677727606846582
Evanston,condo_unit,trust,182,182,7147,7147,0.025465230166503428,0.025465230166503428
Hyde Park,small_mf,partnership,94,636,3662,24170,0.025669033315128344,0.026313611915597848
West Chicago,condo_unit,partnership,17,17,33410,33410,0.0005088296917090692,0.0005088296917090692
Hyde Park,coop_building,unknown,1,1,65,65,0.015384615384615385,0.015384615384615385
Schaumburg,small_mf,partnership,5,35,85,550,0.058823529411764705,0.06363636363636363
Bloom,mixed_use_res,individual,91,267,119,356,0.7647058823529411,0.75
Palatine,small_mf,llc,123,789,419,2605,0.2935560859188544,0.30287907869481767
Schaumburg,mixed_use_res,individual,7,15,7,15,1.0,1.0
Worth,condo_unit,estate,1,1,10741,10741,0.00009310120100549297,0.00009310120100549297
Bloom,sfr_1_4,coop_corp,1,1,26764,28215,0.00003736362277686444,0.0000354421407052986
Riverside,small_mf,lender_reo,1,6,112,689,0.008928571428571428,0.008708272859216255
Lyons,mixed_use_res,unknown,19,65,250,800,0.076,0.08125
West Chicago,sfr_1_4,unknown,2626,5160,58162,103252,0.04514975413500223,0.049974818889706736
Jefferson,condo_unit,unknown,1195,1195,23205,23205,0.05149752208575738,0.05149752208575738
South Chicago,sfr_1_4,individual,14189,20782,15189,22425,0.934162881032326,0.9267335562987737
Wheeling,condo_unit,corp,79,79,17851,17851,0.004425522379698617,0.004425522379698617
Wheeling,small_mf,individual,257,1574,454,2847,0.566079295154185,0.5528626624517036
North Chicago,small_mf,partnership,14,98,714,4812,0.0196078431372549,0.020365752285951787
Rogers Park,mixed_use_res,llc,13,47,109,367,0.11926605504587157,0.12806539509536785
Stickney,mixed_use_res,corp,1,5,46,165,0.021739130434782608,0.030303030303030304
Oak Park,mixed_use_res,corp,2,8,136,447,0.014705882352941176,0.017897091722595078
Worth,mixed_use_res,trust,2,6,268,676,0.007462686567164179,0.008875739644970414
Thornton,mixed_use_res,lender_reo,4,15,299,984,0.013377926421404682,0.01524390243902439
Northfield,condo_unit,trust,228,228,7916,7916,0.028802425467407782,0.028802425467407782
Lake,sfr_1_4,corp,983,1281,139233,167796,0.007060107876724627,0.0076342701852249156
Rogers Park,coop_building,coop_corp,6,6,6,6,1.0,1.0
Hanover,small_mf,llc,39,263,132,848,0.29545454545454547,0.31014150943396224
Cicero,sfr_1_4,lender_reo,21,34,13284,19046,0.0015808491418247517,0.0017851517378977212
Northfield,mixed_use_res,trust,1,5,20,64,0.05,0.078125
Bloom,condo_unit,lender_reo,5,5,1336,1336,0.0037425149700598802,0.0037425149700598802
Cicero,small_mf,unknown,41,276,332,2153,0.12349397590361445,0.12819321876451464
Palos,condo_unit,individual,4982,4982,5337,5337,0.933483230279183,0.933483230279183
Barrington,condo_unit,unknown,9,9,484,484,0.01859504132231405,0.01859504132231405
North Chicago,small_mf,individual,275,1810,714,4812,0.3851540616246499,0.37614297589359935
Bremen,small_mf,trust,2,12,399,2519,0.005012531328320802,0.004763795156808257
Wheeling,condo_unit,individual,16448,16448,17851,17851,0.9214049633073778,0.9214049633073778
New Trier,small_mf,unknown,13,89,82,566,0.15853658536585366,0.15724381625441697
Bremen,condo_unit,trust,43,43,5238,5238,0.008209240168003054,0.008209240168003054
Lyons,small_mf,trust,5,31,489,3105,0.010224948875255624,0.00998389694041868
Evanston,small_mf,corp,49,341,472,3206,0.1038135593220339,0.10636306924516531
Hyde Park,mixed_use_res,corp,21,70,829,2833,0.025331724969843185,0.024708789269325803
North Chicago,sfr_1_4,lender_reo,9,17,4754,6603,0.0018931426167437947,0.0025745873087990308
Schaumburg,condo_unit,unknown,465,465,13384,13384,0.03474297668858339,0.03474297668858339
Leyden,mixed_use_res,unknown,9,24,184,613,0.04891304347826087,0.03915171288743882
North Chicago,small_mf,llc,241,1652,714,4812,0.33753501400560226,0.343308395677473
Jefferson,mixed_use_res,lender_reo,15,47,2300,7839,0.006521739130434782,0.0059956627120806225
Bremen,sfr_1_4,individual,30000,30556,32184,32799,0.9321401938851603,0.9316137687124607
North Chicago,condo_unit,lender_reo,51,51,47847,47847,0.0010658975484356386,0.0010658975484356386
Oak Park,small_mf,partnership,5,34,345,2355,0.014492753623188406,0.014437367303609342
Palatine,small_mf,corp,8,50,419,2605,0.01909307875894988,0.019193857965451054
Elk Grove,condo_unit,unknown,465,465,9354,9354,0.04971135343168698,0.04971135343168698
Elk Grove,sfr_1_4,trust,176,178,17670,17916,0.009960384833050367,0.009935253404777852
Elk Grove,condo_unit,llc,190,190,9354,9354,0.020312165918323712,0.020312165918323712
Oak Park,sfr_1_4,partnership,5,12,11161,12272,0.0004479885314935938,0.0009778357235984355
Elk Grove,sfr_1_4,corp,32,34,17670,17916,0.0018109790605546124,0.0018977450323732976
Bloom,small_mf,partnership,2,14,115,733,0.017391304347826087,0.019099590723055934
Evanston,condo_unit,llc,107,107,7147,7147,0.014971316636350917,0.014971316636350917
Lemont,condo_unit,corp,1,1,202,202,0.0049504950495049506,0.0049504950495049506
Thornton,mixed_use_res,corp,14,52,299,984,0.046822742474916385,0.052845528455284556
Lyons,condo_unit,individual,4532,4532,5055,5055,0.8965380811078141,0.8965380811078141
Thornton,sfr_1_4,llc,1370,1560,51588,55178,0.02655656354190897,0.028272137446083583
New Trier,condo_unit,corp,5,5,1808,1808,0.0027654867256637168,0.0027654867256637168
Worth,small_mf,llc,151,994,855,5432,0.17660818713450294,0.18298969072164947
Proviso,small_mf,lender_reo,6,38,870,5529,0.006896551724137931,0.006872852233676976
River Forest,small_mf,llc,3,19,25,157,0.12,0.12101910828025478
Jefferson,small_mf,unknown,471,3140,3489,22845,0.1349957007738607,0.137448019260232
Jefferson,condo_unit,corp,280,280,23205,23205,0.012066365007541479,0.012066365007541479
New Trier,small_mf,corp,3,21,82,566,0.036585365853658534,0.037102473498233215
Cicero,mixed_use_res,partnership,1,2,310,1009,0.0032258064516129032,0.0019821605550049554
Wheeling,small_mf,llc,106,675,454,2847,0.23348017621145375,0.23709167544783982
