building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
sfr_1_4,coop_corp,13,28,1067035,1256151,0.000012183292956650907,0.000022290313823736158
sfr_1_4,corp,5556,7367,1067035,1256151,0.005206951974396341,0.005864740783552296
condo_unit,partnership,125,125,372246,372246,0.0003357994444533991,0.0003357994444533991
condo_unit,coop_corp,1,1,372246,372246,2.6863955556271926e-6,2.6863955556271926e-6
small_mf,corp,1274,8540,28664,187281,0.04444599497627686,0.04559992738184867
sfr_1_4,estate,40,47,1067035,1256151,0.000037487055251233556,0.000037415883918414266
sfr_1_4,lender_reo,2562,3211,1067035,1256151,0.0024010458888415096,0.0025562213460006
other_res,individual,28,28,43,43,0.6511627906976745,0.6511627906976745
small_mf,unknown,4464,29683,28664,187281,0.1557354172481161,0.15849445485660585
sfr_1_4,llc,16976,26302,1067035,1256151,0.01590950624862352,0.020938565506853874
mixed_use_res,llc,1830,6477,13810,47632,0.1325126719768284,0.1359800134363453
condo_unit,individual,330000,330000,372246,372246,0.8865105333569736,0.8865105333569736
other_res,corp,2,2,43,43,0.046511627906976744,0.046511627906976744
condo_unit,trust,5915,5915,372246,372246,0.015890029711534845,0.015890029711534845
mixed_use_res,individual,10112,34586,13810,47632,0.7322230267921795,0.7261084984884112
other_res,unknown,2,2,43,43,0.046511627906976744,0.046511627906976744
mixed_use_res,coop_corp,1,3,13810,47632,0.0000724112961622013,0.00006298286865972456
small_mf,estate,1,6,28664,187281,0.00003488696622941669,0.00003203741970621686
coop_building,unknown,1,1,374,374,0.00267379679144385,0.00267379679144385
coop_building,coop_corp,365,365,374,374,0.9759358288770054,0.9759358288770054
small_mf,coop_corp,17,103,28664,187281,0.0005930784259000837,0.0005499757049567227
small_mf,individual,15045,96562,28664,187281,0.524874406921574,0.5155995536119521
condo_unit,llc,14168,14168,372246,372246,0.03806085223212607,0.03806085223212607
condo_unit,estate,18,18,372246,372246,0.00004835512000128947,0.00004835512000128947
mixed_use_res,trust,142,472,13810,47632,0.010282404055032585,0.009909304669129997
mixed_use_res,corp,462,1583,13810,47632,0.033454018826937,0.033233960362781326
small_mf,trust,292,1848,28664,187281,0.010186994138989674,0.009867525269514793
coop_building,trust,3,3,374,374,0.008021390374331552,0.008021390374331552
condo_unit,lender_reo,718,718,372246,372246,0.0019288320089403245,0.0019288320089403245
condo_unit,unknown,18805,18805,372246,372246,0.05051766842356936,0.05051766842356936
mixed_use_res,unknown,1173,4203,13810,47632,0.08493845039826213,0.0882389989922741
coop_building,lender_reo,5,5,374,374,0.013368983957219251,0.013368983957219251
small_mf,llc,7054,47038,28664,187281,0.24609265978230532,0.2511626913568381
sfr_1_4,individual,993348,1159711,1067035,1256151,0.9309422839925588,0.9232257905299601
other_res,llc,10,10,43,43,0.23255813953488372,0.23255813953488372
mixed_use_res,lender_reo,78,264,13810,47632,0.0056480811006517015,0.0055424924420557605
condo_unit,corp,2496,2496,372246,372246,0.006705243306845473,0.006705243306845473
mixed_use_res,partnership,12,44,13810,47632,0.0008689355539464157,0.0009237487403426268
sfr_1_4,unknown,38237,47465,1067035,1256151,0.03583481329103544,0.0377860623444156
sfr_1_4,partnership,728,881,1067035,1256151,0.0006822644055724508,0.000701348802811127
small_mf,partnership,331,2254,28664,187281,0.011547585821936924,0.012035390669635467
sfr_1_4,trust,9575,11139,1067035,1256151,0.008973463850764033,0.008867564488664182
other_res,trust,1,1,43,43,0.023255813953488372,0.023255813953488372
small_mf,lender_reo,186,1247,28664,187281,0.006488975718671504,0.006658443728942071
