geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
33162,coop_building,trust,2,2,660,660,0.0030303030303030303,0.0030303030303030303,false
33138,sfr_1_4,llc,644,1036,5274,6317,0.12210845657944634,0.16400189963590311,false
33175,sfr_1_4,estate,60,60,13804,13881,0.004346566212691973,0.004322455154527772,false
33130,small_mf,llc,240,2057,368,3051,0.6521739130434783,0.6742051786299574,false
33162,sfr_1_4,partnership,29,45,8657,9307,0.0033498902622155482,0.00483507037713549,false
33127,sfr_1_4,lender_reo,4,8,4724,6495,0.000846740050804403,0.0012317167051578138,false
33010,condo_unit,trust,1,1,984,984,0.0010162601626016261,0.0010162601626016261,false
33127,condo_unit,individual,49,49,373,373,0.13136729222520108,0.13136729222520108,false
33157,condo_unit,individual,1207,1207,1819,1819,0.6635514018691588,0.6635514018691588,false
33176,condo_unit,estate,9,9,5337,5337,0.0016863406408094434,0.0016863406408094434,false
33126,large_mf,individual,1,46,69,5162,0.014492753623188406,0.008911274699728787,false
33138,large_mf,llc,19,1128,32,2708,0.59375,0.41654357459379615,false
33144,condo_unit,estate,6,6,597,597,0.010050251256281407,0.010050251256281407,false
33143,sfr_1_4,unknown,417,427,6909,7125,0.060356057316543636,0.05992982456140351,false
33142,condo_unit,estate,2,2,555,555,0.0036036036036036037,0.0036036036036036037,false
33179,sfr_1_4,individual,5626,5683,6712,7049,0.8382002383790227,0.8062136473258619,false
33144,condo_unit,trust,3,3,597,597,0.005025125628140704,0.005025125628140704,false
33033,sfr_1_4,estate,46,46,15948,16019,0.0028843742162026585,0.0028715899868905674,false
33187,sfr_1_4,individual,4672,4729,5235,5310,0.8924546322827125,0.8905838041431262,false
33170,sfr_1_4,individual,4083,4180,4653,4824,0.877498388136686,0.8665008291873963,false
33136,large_mf,corp,12,1028,57,5008,0.21052631578947367,0.20527156549520767,false
33162,sfr_1_4,individual,7275,7627,8657,9307,0.8403604019868315,0.8194907059202751,false
33155,condo_unit,partnership,4,4,1861,1861,0.0021493820526598604,0.0021493820526598604,false
33155,small_mf,llc,7,74,16,170,0.4375,0.43529411764705883,false
33145,sfr_1_4,corp,110,171,6200,8156,0.017741935483870968,0.020966159882295242,false
33161,condo_unit,corp,246,246,3046,3046,0.08076165462902167,0.08076165462902167,false
33133,small_mf,llc,38,392,67,677,0.5671641791044776,0.5790251107828656,false
33136,small_mf,llc,84,837,127,1224,0.6614173228346457,0.6838235294117647,false
33135,condo_unit,partnership,5,5,1296,1296,0.0038580246913580245,0.0038580246913580245,false
33147,sfr_1_4,corp,282,367,10524,11991,0.026795895096921322,0.03060628804937036,false
33158,sfr_1_4,partnership,5,5,2036,2048,0.002455795677799607,0.00244140625,false
33139,large_mf,corp,16,479,77,4059,0.2077922077922078,0.11800936191180093,false
33010,sfr_1_4,unknown,214,274,5742,7762,0.03726924416579589,0.03530018036588508,false
-,sfr_1_4,llc,2,3,2,3,,,true
33187,sfr_1_4,llc,182,191,5235,5310,0.03476599808978032,0.03596986817325801,false
33144,small_mf,llc,17,156,38,351,0.4473684210526316,0.4444444444444444,false
33189,sfr_1_4,unknown,284,298,6398,6550,0.044388871522350735,0.04549618320610687,false
33168,small_mf,llc,3,31,3,31,1.0,1.0,false
33145,condo_unit,llc,334,334,2209,2209,0.1511996378451788,0.1511996378451788,false
33165,large_mf,llc,4,428,21,1497,0.19047619047619047,0.2859051436205745,false
33180,small_mf,llc,1,8,1,8,,,true
33131,condo_unit,individual,8786,8786,16160,16160,0.5436881188118812,0.5436881188118812,false
33134,sfr_1_4,llc,711,1155,8547,9822,0.08318708318708319,0.11759315821624923,false
33175,sfr_1_4,unknown,745,747,13804,13881,0.053969863807592,0.05381456667387076,false
33173,condo_unit,individual,2193,2193,2633,2633,0.8328902392707938,0.8328902392707938,false
33149,sfr_1_4,partnership,2,2,1294,1314,0.0015455950540958269,0.0015220700152207,false
33190,condo_unit,llc,184,184,852,852,0.215962441314554,0.215962441314554,false
33013,condo_unit,individual,275,275,358,358,0.7681564245810056,0.7681564245810056,false
33139,sfr_1_4,llc,262,369,1044,1291,0.2509578544061303,0.2858249419054996,false
33190,condo_unit,lender_reo,1,1,852,852,0.0011737089201877935,0.0011737089201877935,false
33054,condo_unit,trust,1,1,295,295,0.003389830508474576,0.003389830508474576,false
33127,condo_unit,partnership,115,115,373,373,0.30831099195710454,0.30831099195710454,false
33170,sfr_1_4,unknown,99,102,4653,4824,0.02127659574468085,0.021144278606965175,false
33136,condo_unit,llc,565,565,1406,1406,0.4018492176386913,0.4018492176386913,false
33138,condo_unit,estate,6,6,2970,2970,0.00202020202020202,0.00202020202020202,false
33186,large_mf,corp,2,504,14,3834,0.14285714285714285,0.13145539906103287,false
33056,condo_unit,unknown,1,1,62,62,0.016129032258064516,0.016129032258064516,false
