year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2003,Bronx,3891,17014,725,8762,0.18632742225648932,0.5149876572234631
2003,Brooklyn,9212,34903,1823,16965,0.19789405123751627,0.4860613700828009
2003,Manhattan,904,13354,471,10269,0.5210176991150443,0.7689830762318407
2003,Queens,12930,26204,1483,5860,0.11469450889404485,0.22362998015570143
2004,Bronx,5457,27718,973,14788,0.17830309693971047,0.5335161267046684
2004,Brooklyn,17324,59808,2874,23462,0.1658970214731009,0.39228865703584803
2004,Manhattan,1131,17816,621,14931,0.5490716180371353,0.8380669061517737
2004,Queens,20576,43594,1942,11395,0.09438180404354587,0.2613891819975226
2005,Bronx,5594,32963,990,20510,0.17697533071147659,0.6222127840305798
2005,Brooklyn,15364,58137,2393,27521,0.15575370997136162,0.47338183944819995
2005,Manhattan,1414,30709,864,25826,0.611032531824611,0.840991240352991
2005,Queens,20727,43547,1739,10394,0.08390022675736962,0.2386846395848164
2006,Bronx,5458,32896,869,20433,0.15921582997434958,0.6211393482490273
2006,Brooklyn,13365,51056,1974,22939,0.14769921436588104,0.4492909746161078
2006,Manhattan,1130,34054,729,30600,0.6451327433628319,0.8985728548775475
2006,Queens,18607,42433,1575,12432,0.08464556349760843,0.2929795206560931
2007,Bronx,3970,30152,784,21386,0.19748110831234256,0.7092730167153091
2007,Brooklyn,10156,39083,1647,18417,0.16217014572666405,0.4712278995982908
2007,Manhattan,1114,23165,741,20385,0.6651705565529623,0.8799913662853442
2007,Queens,14002,35541,1181,12646,0.08434509355806313,0.35581441152471793
2008,Bronx,2550,17206,473,11360,0.18549019607843137,0.660234801813321
2008,Brooklyn,7251,31786,1553,18646,0.21417735484760722,0.5866104574340905
2008,Manhattan,662,12958,455,11482,0.6873111782477341,0.8860935329526162
2008,Queens,10417,27069,1236,10849,0.11865220312949985,0.40079057224130926
2009,Bronx,1982,11690,413,7259,0.20837537840565085,0.6209580838323353
2009,Brooklyn,5507,17700,1131,8001,0.20537497730161614,0.4520338983050847
2009,Manhattan,414,6946,257,5188,0.6207729468599034,0.7469046933486899
2009,Queens,9394,18401,1379,5179,0.146795827123696,0.28145209499483725
2010,Bronx,2008,15908,512,11180,0.2549800796812749,0.702791048529042
2010,Brooklyn,6245,20420,1475,9621,0.23618895116092875,0.4711557296767875
2010,Manhattan,608,12585,395,10985,0.649671052631579,0.8728645212554629
2010,Queens,9508,18248,1575,4992,0.16564997896508205,0.27356422621657167
2011,Bronx,1940,13906,530,8923,0.27319587628865977,0.6416654681432475
2011,Brooklyn,6172,24395,1833,14496,0.29698639014906025,0.5942201270752203
2011,Manhattan,718,14696,516,12444,0.7186629526462396,0.84676102340773
2011,Queens,8205,17172,1422,5957,0.173308957952468,0.3469019333799208
2012,Bronx,2123,19158,660,14585,0.31088082901554404,0.7613007620837248
2012,Brooklyn,7261,33420,2514,22541,0.3462333011981821,0.6744763614602035
2012,Manhattan,971,20874,752,18698,0.7744593202883625,0.8957554852927087
2012,Queens,8479,20537,1598,9144,0.18846562094586625,0.44524516725909336
2013,Bronx,2492,21059,867,15292,0.34791332263242375,0.7261503395222945
2013,Brooklyn,8705,34300,3368,22503,0.3869040781160253,0.656064139941691
2013,Manhattan,1189,23198,948,21759,0.7973086627417998,0.9379687904129667
2013,Queens,9779,27002,1982,14021,0.2026792105532263,0.5192578327531294
2014,Bronx,2711,26019,999,19895,0.36849870896348214,0.7646335370306314
2014,Brooklyn,8576,42354,3536,31293,0.4123134328358209,0.7388440288992775
2014,Manhattan,987,33032,791,31066,0.8014184397163121,0.9404819568902882
2014,Queens,9704,27118,2139,14624,0.22042456718878814,0.5392728077291836
2015,Bronx,3148,23329,1140,16173,0.36213468869123255,0.6932573192164259
2015,Brooklyn,9031,44487,3784,32029,0.4190012180267966,0.7199631352979522
2015,Manhattan,990,32076,851,30509,0.8595959595959596,0.9511472752213493
2015,Queens,10715,26823,2451,13544,0.22874475034997666,0.5049397904783208
2016,Bronx,3530,25236,1277,16125,0.36175637393767707,0.6389681407513077
2016,Brooklyn,8467,33803,3256,22659,0.38455178929963385,0.6703251190722717
2016,Manhattan,907,26059,742,20010,0.8180815876515987,0.7678729037952339
2016,Queens,10870,26394,2542,11972,0.23385464581416743,0.45358793665226943
2017,Bronx,3429,19705,1205,13315,0.35141440653251677,0.6757168231413346
2017,Brooklyn,8095,25927,2914,15378,0.3599752933909821,0.5931268561731013
2017,Manhattan,647,12575,495,10121,0.7650695517774343,0.8048508946322067
2017,Queens,11006,23940,2552,9471,0.23187352353261856,0.3956140350877193
