year,building_type,sales,units,entity_sales,entity_units,sale_share,unit_share
2003,condo_unit,3,7,1,5,0.3333333333333333,0.7142857142857143
2003,coop_building,4,107,1,7,0.25,0.06542056074766354
2003,large_mf,361,19923,303,16889,0.8393351800554016,0.8477136977362847
2003,mixed_use_res,1822,17122,833,13249,0.45718990120746433,0.7737997897441887
2003,other_res,40,67,12,16,0.3,0.23880597014925373
2003,sfr_1_4,23386,43000,2730,5699,0.1167365090224921,0.13253488372093022
2003,small_mf,1321,11249,622,5991,0.4708554125662377,0.5325806738376745
2004,condo_unit,5,5,1,1,0.2,0.2
2004,coop_building,18,2271,7,489,0.3888888888888889,0.21532364597093792
2004,large_mf,555,34709,473,30863,0.8522522522522522,0.8891930046961883
2004,mixed_use_res,2784,23569,1197,16058,0.42995689655172414,0.6813186813186813
2004,other_res,76,115,47,75,0.618421052631579,0.6521739130434783
2004,sfr_1_4,39101,72231,3731,8297,0.09541955448709752,0.11486757763287231
2004,small_mf,1949,16036,954,8793,0.48948178553104155,0.548328760289349
2005,condo_unit,1,1,0,0,0.0,0.0
2005,coop_building,30,1600,16,1003,0.5333333333333333,0.626875
2005,large_mf,714,42888,629,38108,0.8809523809523809,0.8885469128893863
2005,mixed_use_res,2794,33893,1362,28305,0.4874731567644954,0.8351281975629186
2005,other_res,76,111,34,47,0.4473684210526316,0.42342342342342343
2005,sfr_1_4,37501,69456,2950,6495,0.07866456894482814,0.09351243953006219
2005,small_mf,1983,17407,995,10293,0.5017650025214322,0.5913138392600678
2006,condo_unit,1,1,0,0,0.0,0.0
2006,coop_building,19,1388,12,695,0.631578947368421,0.5007204610951008
2006,large_mf,749,45724,674,40656,0.8998664886515354,0.8891610532761788
2006,mixed_use_res,2359,36437,1198,31617,0.5078423060618906,0.8677168811921947
2006,other_res,59,108,27,45,0.4576271186440678,0.4166666666666667
2006,sfr_1_4,33828,63032,2453,5281,0.07251389381577392,0.08378284046198756
2006,small_mf,1545,13749,783,8110,0.5067961165048543,0.5898610808058767
2007,condo_unit,6,7,1,2,0.16666666666666666,0.2857142857142857
2007,coop_building,15,755,8,604,0.5333333333333333,0.8
2007,large_mf,679,41489,625,37101,0.9204712812960235,0.8942370266817711
2007,mixed_use_res,2077,26288,1179,22301,0.5676456427539721,0.8483338405356056
2007,other_res,63,84,28,39,0.4444444444444444,0.4642857142857143
2007,sfr_1_4,25097,47154,1778,4817,0.07084512093078854,0.10215464223607754
2007,small_mf,1305,12164,734,7970,0.5624521072796935,0.6552121012824729
2008,condo_unit,2,2,0,0,0.0,0.0
2008,coop_building,14,683,10,455,0.7142857142857143,0.6661786237188873
2008,large_mf,471,27465,415,24539,0.881104033970276,0.893464409248134
2008,mixed_use_res,1492,19863,902,17634,0.6045576407506702,0.8877813019181392
2008,other_res,44,71,29,43,0.6590909090909091,0.6056338028169014
2008,sfr_1_4,17910,32405,1735,3631,0.09687325516471246,0.11205060947384662
2008,small_mf,947,8530,626,6035,0.6610348468848997,0.7075029308323564
2009,condo_unit,1,1,0,0,0.0,0.0
2009,coop_building,6,434,3,282,0.5,0.6497695852534562
2009,large_mf,255,13922,215,11705,0.8431372549019608,0.8407556385576785
2009,mixed_use_res,860,7994,499,6107,0.5802325581395349,0.763947960970728
2009,other_res,34,66,17,46,0.5,0.696969696969697
2009,sfr_1_4,15595,27212,2084,4005,0.1336325745431228,0.14717771571365573
2009,small_mf,546,5108,362,3482,0.663003663003663,0.6816758026624902
2010,condo_unit,3,3,1,1,0.3333333333333333,0.3333333333333333
2010,coop_building,20,1163,6,272,0.3,0.23387790197764402
2010,large_mf,311,19787,275,17557,0.8842443729903537,0.887299742255016
2010,mixed_use_res,1051,11591,685,9767,0.6517602283539486,0.8426365283409541
2010,other_res,35,47,23,31,0.6571428571428571,0.6595744680851063
2010,sfr_1_4,16287,28571,2517,4898,0.1545404310186038,0.17143257148857233
2010,small_mf,662,5999,450,4252,0.6797583081570997,0.7087847974662443
2011,condo_unit,2,2,0,0,0.0,0.0
2011,coop_building,16,940,3,64,0.1875,0.06808510638297872
2011,large_mf,345,20360,309,17361,0.8956521739130435,0.8527013752455795
2011,mixed_use_res,1242,16183,866,14052,0.6972624798711755,0.8683186059445097
2011,other_res,38,76,17,31,0.4473684210526316,0.40789473684210525
2011,sfr_1_4,14624,25718,2533,4981,0.17320842450765864,0.19367757990512482
2011,small_mf,768,6890,573,5331,0.74609375,0.7737300435413643
2012,condo_unit,2,2,0,0,0.0,0.0
2012,coop_building,13,1398,7,998,0.5384615384615384,0.7138769670958512
2012,large_mf,570,31277,526,28367,0.9228070175438596,0.9069603862263005
2012,mixed_use_res,1513,23497,1156,21620,0.7640449438202247,0.9201174618036345
2012,other_res,34,42,14,14,0.4117647058823529,0.3333333333333333
2012,sfr_1_4,15658,27838,2993,6109,0.1911482948013795,0.21944823622386667
2012,small_mf,1044,9935,828,7860,0.7931034482758621,0.7911424257674887
2013,condo_unit,4,4,1,1,0.25,0.25
2013,coop_building,19,1146,6,172,0.3157894736842105,0.15008726003490402
2013,large_mf,665,35413,626,32881,0.9413533834586466,0.9285008330274193
2013,mixed_use_res,1753,23129,1417,21271,0.8083285795778665,0.9196679493276838
2013,other_res,43,64,31,45,0.7209302325581395,0.703125
