building_type,opacity_tier,parcels,units,parcel_share,unit_share
condo_unit,O1,1019,23986,0.6820615796519411,0.86792589376176
condo_unit,O3,427,3369,0.285809906291834,0.12190620929222754
condo_unit,O4,48,281,0.0321285140562249,0.010167896946012448
large_mf,O1,9903,536708,0.9859617682198327,0.9812510169792107
large_mf,O2,1,35,0.00009956192751891676,0.00006398970314262574
large_mf,O3,115,8642,0.011449621664675428,0.01579997184453062
large_mf,O4,25,1578,0.002489048187972919,0.0028850214731160973
mixed_use_res,O1,23895,478422,0.6827923191221854,0.9160293943072463
mixed_use_res,O2,25,43,0.0007143673562692879,0.00008233163181294254
mixed_use_res,O3,10178,38734,0.2908332380843525,0.07416356806145386
mixed_use_res,O4,898,5079,0.02566007543719282,0.009724705999486863
other_res,O1,274,417,0.30580357142857145,0.3247663551401869
other_res,O2,2,1,0.002232142857142857,0.000778816199376947
other_res,O3,571,802,0.6372767857142857,0.6246105919003115
other_res,O4,49,64,0.0546875,0.04984423676012461
sfr_1_4,O1,23968,65693,0.47881415186687176,0.5828187657475425
sfr_1_4,O2,69,114,0.0013784285914057973,0.0010113914617268177
sfr_1_4,O3,23024,41548,0.45995565055836346,0.36860782852478796
sfr_1_4,O4,2996,5361,0.05985176898335897,0.047562014265942726
small_mf,O1,19846,169508,0.9677671039157361,0.9701805194656532
small_mf,O2,2,16,0.0000975276734773492,0.00009157613983676553
small_mf,O3,586,4552,0.028575608328863314,0.026053411783559792
small_mf,O4,73,642,0.003559760081923246,0.0036744926109502168
