year,building_type,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,condo_unit,2,2,1,1,0.5,0.5
2000,large_mf,20,1526,13,1120,0.65,0.7339449541284404
2000,mixed_use_res,716,773,83,95,0.11592178770949721,0.12289780077619664
2000,sfr_1_4,19779,21962,1000,1247,0.050558673340411545,0.05677989254166287
2000,small_mf,169,919,60,360,0.35502958579881655,0.39173014145810664
2001,condo_unit,4,5,1,1,0.25,0.2
2001,large_mf,9,621,7,519,0.7777777777777778,0.8357487922705314
2001,mixed_use_res,714,779,92,108,0.12885154061624648,0.1386392811296534
2001,sfr_1_4,20983,23262,1209,1516,0.05761807177238717,0.06517066460321555
2001,small_mf,169,953,68,412,0.40236686390532544,0.4323189926547744
2002,condo_unit,5,8,3,6,0.6,0.75
2002,large_mf,14,1010,13,959,0.9285714285714286,0.9495049504950495
2002,mixed_use_res,835,892,105,120,0.12574850299401197,0.13452914798206278
2002,sfr_1_4,23051,25903,1570,2067,0.06810984339074226,0.07979770682932479
2002,small_mf,187,1077,76,499,0.40641711229946526,0.46332404828226553
2003,condo_unit,3,3,1,1,0.3333333333333333,0.3333333333333333
2003,large_mf,15,1059,11,757,0.7333333333333333,0.7148253068932956
2003,mixed_use_res,846,906,129,143,0.1524822695035461,0.15783664459161148
2003,sfr_1_4,24627,27395,2052,2518,0.08332318187355342,0.09191458295309363
2003,small_mf,187,1012,90,515,0.48128342245989303,0.508893280632411
2004,condo_unit,7,8,5,6,0.7142857142857143,0.75
2004,large_mf,21,1379,20,1328,0.9523809523809523,0.9630166787527193
2004,mixed_use_res,1027,1113,169,198,0.16455696202531644,0.1778975741239892
2004,sfr_1_4,29973,33311,2358,2995,0.07867080372335102,0.08991023986070668
2004,small_mf,259,1434,134,797,0.5173745173745173,0.5557880055788006
2005,condo_unit,11,11,5,5,0.45454545454545453,0.45454545454545453
2005,large_mf,21,1512,21,1512,1.0,1.0
2005,mixed_use_res,959,1035,189,222,0.19708029197080293,0.2144927536231884
2005,sfr_1_4,31592,35296,2947,3675,0.09328310964801216,0.10411944696282865
2005,small_mf,243,1358,121,734,0.49794238683127573,0.540500736377025
2006,condo_unit,5,5,1,1,0.2,0.2
2006,large_mf,16,1213,15,1162,0.9375,0.9579554822753503
2006,mixed_use_res,823,911,168,211,0.20413122721749696,0.23161361141602635
2006,sfr_1_4,29530,32603,3112,3670,0.10538435489332881,0.11256632825200134
2006,small_mf,198,1069,107,614,0.5404040404040404,0.5743685687558466
2007,condo_unit,16,18,3,3,0.1875,0.16666666666666666
2007,large_mf,24,1567,22,1416,0.9166666666666666,0.9036375239310785
2007,mixed_use_res,701,744,149,165,0.21255349500713266,0.2217741935483871
2007,sfr_1_4,25413,28191,3016,3791,0.11867941604690513,0.1344755418395942
2007,small_mf,182,1200,110,820,0.6043956043956044,0.6833333333333333
2008,condo_unit,5,5,2,2,0.4,0.4
2008,large_mf,7,553,7,553,1.0,1.0
2008,mixed_use_res,554,601,154,174,0.2779783393501805,0.2895174708818636
2008,sfr_1_4,18906,20888,2597,3065,0.13736379985189887,0.14673496744542322
2008,small_mf,149,795,104,570,0.697986577181208,0.7169811320754716
2009,condo_unit,2,2,0,0,0.0,0.0
2009,large_mf,8,457,8,457,1.0,1.0
2009,mixed_use_res,470,503,141,157,0.3,0.3121272365805169
2009,sfr_1_4,16705,18256,2323,2790,0.13906016162825502,0.15282646801051708
2009,small_mf,108,583,66,367,0.6111111111111112,0.6295025728987993
2010,condo_unit,10,12,5,7,0.5,0.5833333333333334
2010,large_mf,14,865,12,763,0.8571428571428571,0.8820809248554913
2010,mixed_use_res,490,523,132,145,0.2693877551020408,0.27724665391969405
2010,sfr_1_4,16137,18354,2430,3461,0.15058561070831009,0.18856924920998147
2010,small_mf,143,811,110,639,0.7692307692307693,0.7879161528976573
2011,condo_unit,3,3,1,1,0.3333333333333333,0.3333333333333333
2011,large_mf,20,1512,18,1361,0.9,0.9001322751322751
2011,mixed_use_res,467,500,147,161,0.3147751605995717,0.322
2011,sfr_1_4,13858,15559,2265,3019,0.16344349834030886,0.1940356064014397
2011,small_mf,134,763,97,571,0.7238805970149254,0.7483617300131061
2012,condo_unit,3,3,1,1,0.3333333333333333,0.3333333333333333
2012,large_mf,15,1162,15,1162,1.0,1.0
2012,mixed_use_res,453,483,152,167,0.3355408388520971,0.34575569358178054
2012,sfr_1_4,13630,15507,2373,3272,0.17410124724871606,0.21100148320113496
2012,small_mf,191,1096,145,866,0.7591623036649214,0.7901459854014599
2013,condo_unit,4,4,0,0,0.0,0.0
2013,large_mf,23,1474,23,1474,1.0,1.0
2013,mixed_use_res,547,594,223,253,0.4076782449725777,0.42592592592592593
2013,sfr_1_4,16506,18485,3224,4078,0.1953229128801648,0.22061130646470112
2013,small_mf,203,1137,163,932,0.8029556650246306,0.8197009674582234
2014,condo_unit,8,8,1,1,0.125,0.125
2014,large_mf,18,1613,18,1613,1.0,1.0
2014,mixed_use_res,553,583,243,264,0.4394213381555154,0.4528301886792453
2014,sfr_1_4,17430,19574,3704,4660,0.2125071715433161,0.23807091039133543
2014,small_mf,202,1079,170,914,0.8415841584158416,0.8470806302131604
2015,condo_unit,2,2,1,1,0.5,0.5
2015,large_mf,26,2210,25,2159,0.9615384615384616,0.9769230769230769
2015,mixed_use_res,606,654,249,283,0.41089108910891087,0.4327217125382263
2015,sfr_1_4,19809,22093,4612,5726,0.23282346408198293,0.2591771149232789
