year,sales,units,entity_sales,entity_units,sale_share,unit_share
2000,19788,21881,1002,1246,0.0506367495451789,0.056944380969791146
2001,20996,23251,1212,1500,0.05772528100590589,0.06451335426433272
2002,23073,25868,1578,2018,0.06839162657651801,0.0780114427091387
2003,24648,27402,2059,2525,0.08353618954884778,0.09214655864535436
2004,29993,33282,2368,2963,0.07895175540959558,0.08902710173667448
2005,31617,35315,2955,3674,0.09346237783470918,0.10403511255840295
2006,29546,32623,3120,3684,0.10559805049752928,0.11292646292493026
2007,25440,28175,3024,3767,0.11886792452830189,0.13370008873114464
2008,18916,20858,2600,3053,0.13744977796574329,0.14637069709463996
2009,16714,18263,2326,2792,0.13916477204738542,0.15287740239829162
2010,16156,18170,2440,3265,0.15102748205001237,0.17969179966978535
2011,13871,15575,2273,3028,0.16386706077427726,0.19441412520064205
2012,13646,15518,2381,3276,0.17448336508867068,0.21110967908235598
2013,16516,18453,3229,4057,0.19550738677645918,0.2198558499972904
2014,17442,19538,3708,4621,0.21259029927760578,0.2365134609478964
2015,19818,22054,4617,5695,0.2329700272479564,0.2582297995828421
2016,24820,27608,5838,7194,0.23521353746978244,0.2605766444508838
2017,25645,28663,6528,8052,0.25455254435562485,0.2809196525136936
2018,25294,28189,6261,7686,0.24752905827468966,0.27265954805065806
2019,23600,26290,6057,7452,0.2566525423728814,0.28345378470901483
2020,20054,22170,4258,5284,0.2123267178617732,0.23834009923319802
2021,19536,21821,4142,5274,0.21201883701883703,0.24169378121992577
2022,27843,31180,6844,8596,0.2458068455267033,0.2756895445798589
2023,17206,19162,4326,5386,0.25142392188771356,0.2810771318234005
2024,17615,19709,4484,5602,0.25455577632699405,0.2842356283931199
2025,18204,20294,5256,6417,0.2887277521423863,0.31620183305410465
