building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
mixed_use_res,lender_reo,23,480,55779,855743,0.00041234156223668406,0.0005609160694273865
large_mf,unknown,1646,90235,13529,749900,0.12166457240002956,0.12032937725030005
coop_building,coop_corp,6589,444436,7207,460271,0.9142500346884973,0.9655963551907463
condo_unit,estate,1,114,6407,121415,0.00015607928827844546,0.0009389284684758885
large_mf,partnership,410,25883,13529,749900,0.030305270160396185,0.03451526870249367
condo_unit,corp,150,5057,6407,121415,0.023411893241766818,0.041650537413004986
sfr_1_4,partnership,331,774,653468,1098719,0.0005065282462186365,0.000704456735525644
large_mf,individual,672,38279,13529,749900,0.04967107694582009,0.05104547272969729
other_res,hdfc,3,5,2168,2692,0.0013837638376383763,0.0018573551263001485
sfr_1_4,hdfc,382,1151,653468,1098719,0.0005845733838535322,0.0010475835950775403
sfr_1_4,trust,51079,85390,653468,1098719,0.07816603108338893,0.07771777861309398
mixed_use_res,individual,14701,164308,55779,855743,0.2635579698452823,0.19200624486557297
coop_building,lender_reo,6,538,7207,460271,0.0008325239350631331,0.001168876596613734
sfr_1_4,individual,546646,890117,653468,1098719,0.8365306334816701,0.8101407184184491
sfr_1_4,lender_reo,719,1237,653468,1098719,0.001100283410970392,0.0011258565656915008
small_mf,trust,860,5820,29958,247001,0.028706856265438282,0.023562657641062183
mixed_use_res,unknown,3359,118804,55779,855743,0.06021979598056616,0.13883140148385673
small_mf,estate,4,27,29958,247001,0.00013352026169971293,0.00010931129833482456
mixed_use_res,coop_corp,52,4117,55779,855743,0.0009322504885351118,0.00481102387048448
condo_unit,hdfc,33,2056,6407,121415,0.0051506165131887,0.016933657291109006
condo_unit,unknown,996,25061,6407,121415,0.15545497112533166,0.20640777498661614
other_res,trust,84,89,2168,2692,0.03874538745387454,0.033060921248142645
mixed_use_res,estate,11,97,55779,855743,0.00019720683411319673,0.00011335178903011768
large_mf,coop_corp,4,166,13529,749900,0.00029566117229654814,0.00022136284837978397
other_res,unknown,111,155,2168,2692,0.05119926199261993,0.0575780089153046
other_res,individual,1067,1149,2168,2692,0.4921586715867159,0.42682020802377413
small_mf,corp,3065,26594,29958,247001,0.10230990052740503,0.10766758029319719
large_mf,corp,1771,104912,13529,749900,0.1309039840342967,0.13990132017602347
other_res,coop_corp,5,7,2168,2692,0.0023062730627306273,0.002600297176820208
other_res,llc,551,763,2168,2692,0.25415129151291516,0.28343239227340267
condo_unit,lender_reo,1,22,6407,121415,0.00015607928827844546,0.00018119672198657497
condo_unit,llc,1335,22169,6407,121415,0.20836584985172468,0.1825886422600173
small_mf,partnership,435,4253,29958,247001,0.014520328459843782,0.017218553771037363
small_mf,coop_corp,20,162,29958,247001,0.0006676013084985647,0.0006558677900089473
mixed_use_res,trust,1960,5911,55779,855743,0.0351386722601696,0.006907447679969337
small_mf,unknown,1419,14082,29958,247001,0.047366312837973164,0.0570119149315185
sfr_1_4,corp,7683,16542,653468,1098719,0.011757270440174576,0.015055714882513182
mixed_use_res,llc,26683,403744,55779,855743,0.47836999587658435,0.47180520319768904
small_mf,lender_reo,18,128,29958,247001,0.0006008411776487082,0.0005182165254391682
large_mf,hdfc,1110,72093,13529,749900,0.08204597531229212,0.09613681824243232
coop_building,trust,2,85,7207,460271,0.0002775079783543777,0.00018467381173265315
small_mf,hdfc,1000,10482,29958,247001,0.03338006542492823,0.042437075153541885
small_mf,individual,6130,41582,29958,247001,0.20461980105481006,0.1683474965688398
small_mf,llc,17007,143871,29958,247001,0.5676947726817545,0.5824713260270201
other_res,lender_reo,2,3,2168,2692,0.0009225092250922509,0.001114413075780089
mixed_use_res,hdfc,677,39748,55779,855743,0.012137184244966744,0.046448524849166166
sfr_1_4,unknown,4479,7885,653468,1098719,0.006854199440523484,0.007176539224314861
sfr_1_4,coop_corp,23,60,653468,1098719,0.000035196826776521574,0.00005460904926555379
condo_unit,individual,3864,66386,6407,121415,0.6030903699079132,0.5467693448091258
sfr_1_4,estate,83,163,653468,1098719,0.00012701463575875177,0.0001483545838380878
large_mf,trust,49,1655,13529,749900,0.003621849360632715,0.0022069609281237497
condo_unit,partnership,9,410,6407,121415,0.001404713594506009,0.003376848000658897
condo_unit,coop_corp,3,76,6407,121415,0.00046823786483533636,0.000625952312317259
other_res,corp,336,507,2168,2692,0.15498154981549817,0.18833580980683506
condo_unit,trust,15,64,6407,121415,0.0023411893241766816,0.0005271177366882181
large_mf,lender_reo,4,509,13529,749900,0.00029566117229654814,0.0006787571676223497
sfr_1_4,llc,42043,95400,653468,1098719,0.06433826905066507,0.08682838833223053
coop_building,hdfc,610,15212,7207,460271,0.08463993339808519,0.03305009440090729
mixed_use_res,partnership,474,19354,55779,855743,0.008497821760877749,0.02261660334937008
other_res,partnership,9,14,2168,2692,0.004151291512915129,0.005200594353640416
large_mf,llc,7863,416168,13529,749900,0.5811959494419395,0.5549646619549273
mixed_use_res,corp,7839,99180,55779,855743,0.1405367611466681,0.11589928284543373
