owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
lender_reo,773,2917,768516,3535741,0.001005834621530326,0.0008250038676475454
llc,95482,1082115,768516,3535741,0.12424204570887268,0.3060504148918148
corp,20844,252792,768516,3535741,0.02712240213606483,0.07149618707931378
unknown,12010,256222,768516,3535741,0.015627521092599243,0.07246628075981809
estate,99,401,768516,3535741,0.00012881969926455662,0.00011341328451376954
trust,54049,99014,768516,3535741,0.07032904975303052,0.028003748012085727
individual,573080,1201821,768516,3535741,0.7456969015609304,0.33990640151526935
hdfc,3815,140747,768516,3535741,0.004964112653477611,0.039806931559749424
partnership,1668,50688,768516,3535741,0.002170416751245257,0.014335891684373941
coop_corp,6696,449024,768516,3535741,0.008712896022984556,0.1269957273454136
