record_type,doc__type,doc__type_description,class_code_description,party1_type,party2_type
D,"DEED, RC",DEED WITH RESTRICTIVE COVENANT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,CNFL,CONTINUATION OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,ZONE,ZONING LOT DESCRIPTION,OTHER DOCUMENTS,PARTY ONE,
D,ESTL,ESTOPPEL FOR OFFICE USE ONLY,OTHER DOCUMENTS,MORTGAGOR,NYC
D,CORRD,CORRECTION DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,DEMM,DECLARATION OF MODIFI OF MRT,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,MAPS,MAPS,OTHER DOCUMENTS,PARTY 1,
D,MMTG,MASTER MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGEE/LENDER,
D,SUBM,SUBORDINATION OF MORTGAGE,MORTGAGES & INSTRUMENTS,PARTY ONE,PARTY TWO
D,PRCFL,PARTIAL REVOCATION OF CERT RFL,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,CONT,UCC3 CONTINUATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,ACON,ASSIGN/TERM OF CONTRACT/BID,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO
D,AIRRIGHT,AIR RIGHTS,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,FL,FEDERAL LIEN-IRS,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,NAPP,NOTICE OF APPROPRIATION,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO
D,"DEED, LE",LIFE ESTATE DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
D,LDMK,LANDMARK DESIGNATION,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,TERM,UCC3 TERMINATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,AMND,UCC3 AMENDMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,CORP,UCC 5 CORRECTION STATEMENT,UCC AND FEDERAL LIENS,PARTY 1,PARTY 2
D,ASGN,UCC3 ASSIGNMENT,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,AGMT,AGREEMENT,MORTGAGES & INSTRUMENTS,PARTY 1,PARTY 2
D,AMTL,AMENDMENT OF TAX LIEN,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,CDEC,CONDO DECLARATION,DEEDS AND OTHER CONVEYANCES,PARTY 1,
D,CODP,CONDEMNATION PROCEEDINGS,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2
D,ASPM,ASSUMPTION OF MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,APPRT,APP. ORDER BREAKDWN OFFICE USE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,RFTL,RELEASE OF FEDERAL TAX LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,ASSTO,ASSIGNMENT OF LEASE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,RPTT&RET,BOTH RPTT AND RETT,OTHER DOCUMENTS,GRANTOR/SELLER,GRANTEE/BUYER
D,MCON,MEMORANDUM OF CONTRACT,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO
D,DEVR,DEVELOPMENT RIGHTS,DEEDS AND OTHER CONVEYANCES,PARTY ONE,PARTY TWO
D,CERR,CERTIFICATE OF REDUCTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,SAT,SATISFACTION OF MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER
D,TLS,TAX LIEN SALE CERTIFICATE,OTHER DOCUMENTS,PARTY 1,PARTY 2
D,UCC3,UNIFORM COMMERCIAL CODE 3,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,DCTO,COURT ORDER ADVERSE POSS.,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2
D,SUBO,UCC3 SUBORDINATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY
D,LTPA,LETTERS  PATENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER
