code,description,source
A0,"CAPE COD",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A1,"TWO STORIES - DETACHED SM OR MID",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A2,"ONE STORY - PERMANENT LIVING QUARTER",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A3,"LARGE SUBURBAN RESIDENCE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A4,"CITY RESIDENCE ONE FAMILY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A5,"ONE FAMILY ATTACHED OR SEMI-DETACHED",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A6,"SUMMER COTTAGE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A7,"MANSION TYPE OR TOWN HOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A8,"BUNGALOW COLONY - COOPERATIVELY OWNED LAND",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
A9,"MISCELLANEOUS ONE FAMILY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
B1,"TWO FAMILY BRICK",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
B2,"TWO FAMILY FRAME",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
B3,"TWO FAMILY CONVERTED FROM ONE FAMILY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
B9,"MISCELLANEOUS TWO FAMILY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C0,"THREE FAMILIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C1,"OVER SIX FAMILIES WITHOUT STORES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C2,"FIVE TO SIX FAMILIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C3,"FOUR FAMILIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C4,"OLD LAW TENEMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C5,"CONVERTED DWELLINGS OR ROOMING HOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C6,"WALK-UP COOPERATIVE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C7,"WALK-UP APT. OVER SIX FAMILIES WITH STORES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C8,"WALK-UP CO-OP; CONVERSION FROM LOFT/WAREHOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
C9,"GARDEN APARTMENTS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
CB,"WALKUP APT LESS THAN 11 UNITS RESIDENTIAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
CC,"WALKUP CO-OP APT LESS THAN 11 UNITS RESIDENTIAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
CM,"MOBILE HOMES/TRAILER PARKS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D0,"ELEVATOR CO-OP; CONVERSION FROM LOFT/WAREHOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D1,"ELEVATOR APT; SEMI-FIREPROOF WITHOUT STORES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D2,"ELEVATOR APT; ARTISTS IN RESIDENCE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D3,"ELEVATOR APT; FIREPROOF WITHOUT STORES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D4,"ELEVATOR COOPERATIVE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
D5,"ELEVATOR APT; CONVERTED",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
